,smiles,logP
0,CC1=CC(=O)C=CC1=O,0.72
9,c1ccc(P(c2ccccc2)c2ccccc2)cc1,5.69
54,O=S(Cc1ccccc1)Cc1ccccc1,1.99
95,COc1ccc(CC#N)cc1,1.7
96,CN(Cc1ccccc1)c1ccccc1,4.22
100,CCN(CC)C(C)=O,0.34
106,C[Si](C)(C)Cc1ccccc1,4.13
110,CC(=O)c1ccncc1,0.48
131,CCN(CC)N=O,0.48
132,CCCN(CCC)N=O,1.36
133,CC(C)CN(CC(C)C)N=O,2.34
137,O=NN1CCCCC1,0.36
138,O=NN1CCOCC1,-0.44
140,O=C(O)CBr,0.41
141,O=C(O)CCl,0.22
143,Nc1ccccc1C(=O)O,1.21
144,O=P(O)(O)c1ccccc1,0.54
148,O=C(O)c1ccccc1,1.87
149,O=C(O)c1ccc([N+](=O)[O-])cc1Cl,2.03
165,O=C(O)CO,-1.11
170,O=C(O)c1ccccn1,0.72
171,CC(Br)C(=O)O,0.92
173,O=C(O)CCCl,0.41
179,O=C(O)c1ccccc1O,2.26
180,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.71
182,O=C(O)c1cc([N+](=O)[O-])ccc1O,2.34
184,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.55
186,CCCCOC(N)=O,0.85
199,CC(=O)Nc1cc(C)cc(C)c1,2.17
202,O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],3.37
216,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-0.04
246,Nc1ccc(Cl)c(Cl)c1,2.69
266,NC(=S)N/N=C/c1ccccc1,1.86
283,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.89
294,O=C(O)CCCc1ccccc1,2.42
300,O=C(O)Cc1ccc2ccccc2c1,2.81
310,O=C(CCl)Nc1ccccc1,1.63
312,Cc1ccc(S(=O)(=O)N(C)N=O)cc1,0.58
335,CC(C)N(N=O)C(C)C,1.38
338,O=NN1CCN(N=O)CC1,-0.85
345,O=[N+]([O-])c1cccc2cccnc12,1.4
396,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,2.83
399,O=C(O)Cc1ccccc1F,1.5
400,O=C(O)Cc1ccc(F)cc1,1.55
425,Oc1ccc(O)c(Cl)c1,1.4
426,C[N+](=O)[O-],-0.35
428,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,3.31
429,Nc1ccccn1,0.48
433,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,5.25
435,O=C(O)CCS,0.43
437,c1ccc2c(c1)Sc1ccccc1S2,4.47
440,CC/C(C)=N/O,0.63
442,CC(=O)Nc1ccc(Cl)cc1,2.09
446,O=C1C=CC(=NCl)C=C1,1.26
449,OCC(F)(F)F,0.41
450,O=C(O)C1CCCCC1,1.96
456,Nc1cccc2c1C(=O)c1ccccc1C2=O,3.74
458,Cc1cc(C)nc(C)c1,1.88
462,c1ccc2c(c1)Oc1ccccc1S2,4.54
472,C1CNCCN1,-1.5
473,Cc1cc2ccccc2cn1,2.68
521,C#CC(C)(C)O,0.28
574,Nc1ccc(F)cc1,1.15
580,O=NN(c1ccccc1)c1ccccc1,3.13
588,Clc1ccc2c(Cl)ccnc2c1,3.57
613,Cc1cccc2cc[nH]c12,2.56
618,O=C(c1ccccc1)c1ccccc1O,3.52
624,C1OC1C1CO1,-0.28
632,c1ccc(C2CO2)cc1,1.61
637,NNC(=O)c1ccccc1N,-0.18
638,NNS(=O)(=O)c1ccccc1,-0.14
639,NNC(=O)c1ccccc1,0.19
647,NNC(=O)c1ccccc1O,0.6
664,O=C(OOC(=O)c1ccccc1)c1ccccc1,3.46
728,C(=N/c1ccccc1)\c1ccccc1,2.82
