,smiles,Energy
0,CN(C)C(=O)c1ccc(cc1)OC,-11.01
1,CS(=O)(=O)Cl,-4.87
2,CC(C)C=C,1.83
3,CCc1cnccn1,-5.45
4,CCCCCCCO,-4.21
5,Cc1cc(cc(c1)O)C,-6.27
6,CC(C)C(C)C,2.34
7,CCCC(C)(C)O,-3.92
8,C[C@@H]1CCCC[C@@H]1C,1.58
9,CC[C@H](C)O,-4.62
10,C(Br)Br,-1.96
11,CC[C@H](C(C)C)O,-3.88
12,CCc1ccccn1,-4.33
13,CCCCC(=O)OCC,-2.49
14,c1ccc(cc1)S,-2.55
15,CC(=CCC/C(=C\CO)/C)C,-4.78
16,c1ccc2c(c1)CCC2,-1.46
17,CCOc1ccccc1,-2.22
18,c1cc(ccc1O)Br,-5.85
19,CCCC(C)(C)C,2.88
20,CC(=O)OCCOC(=O)C,-6.34
21,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
22,C1CCCC(CC1)O,-5.48
23,COC(=O)C1CC1,-4.1
24,c1ccc(cc1)C#N,-4.1
25,CCCCC#N,-3.52
26,CC(C)(C)O,-4.47
27,CC(C)C(=O)C(C)C,-2.74
28,CCC=O,-3.43
29,CN(C)C=O,-7.81
30,Cc1ccc(cc1)C,-0.8
31,C=CCC=C,0.93
32,Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78
33,CN(C)C(=O)c1ccccc1,-9.29
34,CCNCC,-4.07
35,CC(C)(C)c1ccc(cc1)O,-5.91
36,CC(C)CCOC=O,-2.13
37,CCCCCCCCCCO,-3.64
38,CCC(=O)OCC,-2.68
39,CCCCCCCCC,3.13
40,CC(=O)NC,-10.0
41,CCCCCCCC=C,2.06
42,c1ccc2cc(ccc2c1)O,-8.11
43,c1cc(c(cc1Cl)Cl)Cl,-1.12
44,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
45,CCCC(=O)OC,-2.83
46,c1ccc(c(c1)C=O)O,-4.68
47,C1CNC1,-5.56
48,CCCNCCC,-3.65
