,logD,smiles,pH
0,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,7.4
1,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,7.4
2,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,7.4
3,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,7.4
4,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,7.4
5,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,7.4
6,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,7.4
7,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,7.4
8,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,7.4
9,2.25,Oc1ncnc2scc(c3ccsc3)c12,7.4
10,1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,7.4
11,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,7.4
12,-0.08,O=C1CCCCCN1,7.4
13,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,7.4
14,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,7.4
15,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,7.4
16,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,7.4
17,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,7.4
18,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,7.4
19,0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,7.4
20,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,7.4
21,1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,7.4
22,3.17,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,7.4
23,2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,7.4
24,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,7.4
25,3.93,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,7.4
26,1.9,COc1cnc(nc1N(C)C)c2ccccn2,7.4
27,2.27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,7.4
28,1.2,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,7.4
29,1.14,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,7.4
30,2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,7.4
