,smiles,logD,pH
0,Brc1[nH]c2c3c1C[C@@H]1N(C[C@@H](C=C1c3ccc2)C(=O)N[C@@]1(O[C@]2(O)N([C@H](CC(C)C)C(=O)N3[C@H]2CCC3)C1=O)C(C)C)C,4.2,7.4
1,Brc1c2nccnc2ccc1NC=1NCCN=1,0.31,7.4
2,Brc1cc(Br)cc(Br)c1NC=1NCCN=1,2.51,7.4
3,Brc1cc(Br)cc(C(F)(F)F)c1NC=1NCCN=1,2.8,7.4
4,Brc1cc(Cl)c(NC=2NCCN=2)c(Cl)c1,2.31,7.4
5,Brc1cc(Cn2nc(cc2C)C(O)=O)c(OCc2ccccc2)cc1,1.15,7.4
6,Brc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCC2CCN(CC2)C)c3)cc1,2.6,7.4
7,Brc1cc(ccc1NC(=O)Nc1ccccc1Br)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,2.28,7.4
8,Brc1cc(ccc1NC(=O)Nc1ccccc1C)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,1.68,7.4
9,Brc1cc(ccc1NC(=O)Nc1ccccc1Cl)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,2.17,7.4
10,Brc1cc2c(NC(=O)CN=C2c2ncccc2)cc1,1.65,7.4
11,Brc1cc2c([nH]cc2CC(=O)N2CCN(CC2)c2c3nonc3c([N+](=O)[O-])cc2)cc1,3.0,7.4
12,Brc1cc2c(nc1)cccc2,2.91,7.4
13,Brc1ccc(cc1)CCOCCCS(=O)(=O)CCNCCc1c2sc(O)nc2c(O)cc1,3.36,7.4
14,Brc1ccccc1NC(=O)Nc1ccc(cc1C)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,1.64,7.4
15,Brc1ccccc1NC(=O)Nc1ccc(cc1Cl)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,2.34,7.4
16,Brc1ccccc1NC(=O)Nc1ccc(cc1OC)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,1.76,7.4
17,Brc1n2C=CC=Nc2nc1-c1cc2OCOc2cc1,3.48,7.4
18,ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc(S(=O)(=O)C)cc1)CO,-0.27,7.4
19,ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,1.14,7.4
20,ClC1=Nn2c(nnc2C(F)(F)F)C=C1,3.11,7.4
21,ClCCN(CCCl)c1ccc(cc1)CCCC(=O)NCCCC(=O)NCCCCCC[C@H]1[C@H]2[C@@H]3CC[C@H](O)[C@]3(CC[C@@H]2c2c(cc(O)cc2)C1)C,4.85,7.4
22,ClCCN(CCCl)c1ccc(cc1)CCCC(=O)NCCCCCC[C@H]1[C@H]2[C@@H]3CC[C@H](O)[C@]3(CC[C@@H]2c2c(cc(O)cc2)C1)C,5.07,7.4
23,ClCCN(CCCl)c1ccc(cc1)CCCNC(OCCCCCC[C@H]1[C@H]2[C@@H]3CC[C@H](O)[C@]3(CC[C@@H]2c2c(cc(O)cc2)C1)C)=O,5.61,7.4
24,Clc1c(cc(Cl)cc1Cl)-c1cnc(nc1N)N1CCN(CC1)C,3.39,7.4
25,Clc1c(cc(cc1C)-c1nc(n(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1)C(C)C)C.[Na+],2.27,7.4
26,Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,4.2,7.4
27,Clc1c(csc1C(=O)Nc1c(cc(Cl)cc1OC)C(=O)Nc1ncc(Cl)cc1)CN1CCN(CC1)C,2.75,7.4
28,Clc1c(csc1C(=O)Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cc1)CN1CCN(CC1)C,2.96,7.4
29,Clc1c(csc1C(=O)Nc1ccc(Cl)cc1C(=O)Nc1ncc(Cl)cc1)CN1CCN(CC1)C,3.11,7.4
30,Clc1c2O[C@]3([C@@H](CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC,2.18,7.4
31,Clc1c2c(sc1C(=O)NC=1SCCN=1)cc(F)cc2,5.16,7.4
32,Clc1c2n(ncc2ccc1O)C[C@@H](N)C,1.09,7.4
33,Clc1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C,1.3,7.4
34,Clc1cc(C(=O)NCCN(CC)CC)c(OC)cc1N,0.41,7.4
35,Clc1cc(Cl)ccc1-c1[nH]nc(c1)C1CCN(CC1)C(=O)NCCn1c(ncc1[N+](=O)[O-])C,3.4,7.4
36,Clc1cc(Cl)ccc1-c1nc(OC)nc(N)c1CN,1.6,7.4
37,Clc1cc(Cl)ccc1-c1nc(nc(N)c1CN)C,1.4,7.4
38,Clc1cc(Cl)ccc1-c1nc(nc(N)c1CN)N,0.4,7.4
39,Clc1cc(Cl)ccc1C(OCc1ccc(Cl)cc1)Cn1ccnc1,5.25,7.4
40,Clc1cc(Cl)ccc1C1(OC(CO1)CCC)Cn1ncnc1,3.5,7.4
41,Clc1cc(Cl)ccc1C[C@@H](NC(=O)CCN)C(=O)N1CCN(CC1)c1ccccc1CNCCc1sccc1,1.1,7.4
42,Clc1cc(Cl)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CC(NC(C3)C)C)cc12,-0.03,7.4
43,Clc1cc(Cl)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12,-0.55,7.4
44,Clc1cc(Cl)ccc1OCCCON1C(NC(=NC1=N)N)(C)C,3.39,7.4
45,Clc1cc(Cl)ccc1[C@@]1(O[C@H](CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,4.33,7.4
46,Clc1cc(Cl)ccc1[C@@]1(O[C@H](CO1)COc1ccc(N2CCN(CC2)c2ccc(N3C=NN(C(CC)C)C3=O)cc2)cc1)Cn1ncnc1,5.79,7.4
47,Clc1cc(Cl)ccc1[C@]1(O[C@@H](CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,3.83,7.4
48,Clc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCCCN2CCN(CC2)C)c3)cc1,2.4,7.4
49,Clc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCCCN2CCOCC2)c3)cc1,3.4,7.4
50,Clc1cc(N2CCN(CC2)CCCN2N=C(N(CCOc3ccccc3)C2=O)CC)ccc1,4.83,7.4
51,Clc1cc(N2CCN(CC2)CCCN2N=C3N(C=CC=C3)C2=O)ccc1,2.755,7.4
52,Clc1cc(NCc2occc2)c(cc1S(=O)(=O)N)C(O)=O,-0.9,7.4
53,Clc1cc(O)ccc1,2.5300000000000002,7.4
54,Clc1cc(OC)ccc1CN1CCC(n2c3c(nc2O)cccc3)CC1,2.5,7.4
55,Clc1cc(Oc2ccccc2)c(N(Cc2ccccc2OC(C)C)C(=O)C)cc1,4.02,7.4
56,Clc1cc(Oc2ccccc2)c(N(Cc2ccccc2OC)C(=O)C)cc1,3.74,7.4
57,Clc1cc(Oc2ccccc2)c(N(Cc2ccccc2OCC)C(=O)C)cc1,3.81,7.4
58,Clc1cc(ccc1)-c1occ(n1)CNC(CCCCC)C,5.02,7.4
59,Clc1cc(ccc1)C(=O)[C@@H](NC(C)(C)C)C,2.61,7.4
60,Clc1cc(ccc1)C(=O)c1ccn(c1)CC(O)=O,-0.39,7.4
61,Clc1cc(ccc1)CCOCCNS(=O)(=O)CCCNCCc1c2sc(O)nc2c(O)cc1,1.92,7.4
62,Clc1cc(ccc1)CNc1nnc(c2c1cccc2)C,4.32,7.4
63,Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2c1cccc2,3.1,7.4
64,Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2cc(S(=O)(=O)N)ccc12,2.3,7.4
65,Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2cc(S(=O)(=O)NC)ccc12,2.8,7.4
66,Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2cc(ccc12)C(=O)N,2.3,7.4
67,Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2cc(ccc12)C(=O)NC,2.8,7.4
68,Clc1cc(ccc1Cl)[C@]1(CCC(=O)N(C1)CC1CC1)CCN1CC(N2CCN(S(=O)(=O)N)CC2)C1,1.7,7.4
69,Clc1cc(ccc1Cl)[C@]1(CCC(=O)N(C1)CC1CC1)CCN1CC(N2CCOCC2)C1,2.3,7.4
70,Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N)c1ccccc1,3.02,7.4
71,Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N)c1cccnc1,2.59,7.4
72,Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N)c1ccncc1,2.64,7.4
73,Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N1CCN(CC1)C)c1ccccc1,3.71,7.4
74,Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N1CCN(CC1)C)c1cccnc1,2.41,7.4
75,Clc1cc(ccc1Cl)[C@]1(CCN(C1)C(=O)c1cc(OC)c(OC)c(OC)c1)CCN1CCC(CC1)(C(=O)N1CCOCC1)c1ccccc1,3.02,7.4
76,Clc1cc(ccc1NC(=O)Nc1ccccc1C)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,1.61,7.4
77,Clc1cc(ccc1NC(=O)Nc1ccccc1Cl)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,2.27,7.4
78,Clc1cc2-n3c(ccc3)C(=Nc2cc1)NCCCN(CCCNC1=Nc2c(-n3c1ccc3)cc(Cl)cc2)C,4.44,7.4
79,Clc1cc2-n3c(ccc3)C(=Nc2cc1)NCCCN1CCN(CC1)CCCNC1=Nc2c(-n3c1ccc3)cc(Cl)cc2,4.92,7.4
80,Clc1cc2-n3c(ccc3)C(=Nc2cc1)NCCCNCCCNC1=Nc2c(-n3c1ccc3)cc(Cl)cc2,5.06,7.4
81,Clc1cc2N(c3c(CCc2cc1)cccc3)CCCN(C)C,3.28,7.4
82,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN(C)C,3.395,7.4
83,Clc1cc2N=C(N3CCN(CC3)C)c3c(Nc2cc1)cccc3,3.06,7.4
84,Clc1cc2N=CNS(=O)(=O)c2cc1S(=O)(=O)N,-0.05,7.4
85,Clc1cc2NC(NS(=O)(=O)c2cc1S(=O)(=O)N)C(Cl)Cl,0.43,7.4
86,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C#Cc1ccccc1)C,1.4,7.4
87,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C#Cc1ccncc1)C,1.7,7.4
88,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C#Cc1ccsc1)C,1.9,7.4
89,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C#Cc1sccc1)C,2.4,7.4
