,smiles,pH,logD
0,BrC1=C2NC3=C(CN(CC3)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(CC3)C#N)C2=CC=C1,7.4,3.12
1,BrC1=CC(COC[C@@H](N2CCNCC2)C2=CC=CC=C2)=CC(Br)=C1,7.4,2.8
2,BrC1=CC2=C(C=CC=C2)N=C1,7.4,2.91
3,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,7.4,1.38
4,BrC1=CC2=C(NC(=O)CN=C2C2=NC=CC=C2)C=C1,7.4,1.65
5,BrC1=CC=C(C=C1)C(=O)CN1C=NC2=CC=CC=C12,7.4,3.22
6,BrC1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1,7.4,2.68
7,BrC1=CC=C(C=C1)S(=O)(=O)NCC(N1CCCCCC1)C1=CC=CC=C1,7.4,3.21
8,BrC1=CC=C(O1)C1=NC2=C(N1)C=CC(NS(=O)(=O)C1=CC=CC=C1)=C2,7.4,4.38
9,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,7.4,1.58
10,BrC1=CC=C(S1)N1C[C@@]2(CN3CCC2CC3)OC1=O,7.4,2.0
11,BrC1=CC=C(S1)S(=O)(=O)NCC(N1CCCCCC1)C1=CC=CC=C1,7.4,3.52
12,BrC1=CC=C2OC3=C(N=C(NC3=O)[C@@H]3CCCN3)C2=C1,7.4,2.19
13,BrC1=CC=C2OCC(=O)N(CCN3CCC(CC3)NCC3=CC=C4OCC(=O)NC4=N3)C2=C1,7.4,1.42
14,BrC1=CC=CC=C1C(=O)NCC12CC3CC(CC(C3)C1)C2,7.4,4.15
15,BrC1=CC=CC=C1NC(=O)NC1=C2N=NNC2=C(C=C1)C#N,7.4,1.64
16,BrC1=CN=C(NC2=CC=CC(NC(=O)N3CCCC3)=C2)N=C1NCCCNC(=O)C1=CC=CS1,7.4,4.13
17,BrC1=CN=C(NCC2=CC=CC=C2)N=C1NC1=NNC(=C1)C1CC1,7.4,4.11
18,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,7.4,3.02
19,C(C1NCCC2=CC=CC=C12)C1=CC=CC=C1,7.4,1.89
20,C(CC1=CC=CC=C1)NCC1=CC=CC=C1,7.4,1.65
21,C(CC1=NC2=C(N1)C=CC=C2)CC1=NC2=C(N1)C=CC=C2,7.4,3.5
22,C(CC1=NC2=CC=CC=C2N1)C1=NC2=CC=CC=C2N1,7.4,3.3
23,C(CCCCNC1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1)CCCNC1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,7.4,2.27
24,C(CCNC1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1)CNC1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,7.4,3.65
25,C(CN1CCCC1)OC1=CC=C(NC2=NC=C3C=C(C=CC3=N2)C2=CC=NC=C2)C=C1,7.4,2.66
26,C(CN1CCCCC1)C1CCC2=CC(OCC3=CC=C(C=C3)C3=CC=CC=C3)=CC=C2C1,7.4,3.3
27,C(CN1CCOCC1)N1C2=C(CCCC2)C2=C(N=C(N=C12)N1CCCC1)N1CCCC1,7.4,3.6
28,C(CNCC1=CC=CC=C1)NCC1=CC=CC=C1,7.4,0.73
29,C(N(CC1=CC=CC=C1)C1=NNN=N1)C1=CC=CC=C1,7.4,1.37
30,C(N1N=NN=C1CN1CCN(CC1)C1=NC2=CC=CC=C2S1)C1=CC=CS1,7.4,3.65
31,C(NC1=NC2=CC=CC=C2N1)C1=CC=CC=C1,7.4,2.76
32,C(NC1=NC=NC2=C1C=CC=C2)C1=CC=CC=C1,7.4,3.21
33,C(OC1=C2C=CC=CC2=CC=C1)C1=NCCN1,7.4,0.68
34,C(OC1=CC=CC=C1)C1CNCCO1,7.4,0.2
35,C(SC1=NC2=CC=CN=C2N1)C1=CC=CC=C1,7.4,3.22
36,C([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])OC([C@@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])O[C@@]1([C@]([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])([H])O[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[C@]1([C@@]([C@]([C@]([H])(O1)C([H])([H])O[H])([H])O[H])([H])O[H])C([H])([H])O[H],7.4,-3.0
37,C1=C(N=C2C=CC=CN12)C1=CC=CC=C1,7.4,2.9
38,C1=CC2=C(C=C1)C=CC=C2,7.4,3.37
39,C1=CC2=C(C=C1)N=CC=C2,7.4,2.15
40,C1=CC2=CC=CC=C2C=C1,7.4,3.29
41,C1=CC2=NC=CC=C2N=C1,7.4,0.89
42,C1=CC=C(C=C1)C1=CC=C2C=CC=CC2=N1,7.4,4.0
43,C1=CC=C2C=NC=CC2=C1,7.4,1.6
