,logP,smiles,Temperature,pH
437,-0.89,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[H],22.0,4.0
439,-0.89,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[H],25.0,4.0
441,-0.89,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[H],37.0,4.0
486,-0.26,[H][N]([C](=[O])[C]([H])([H])[H])[c]1[n][n][c]([S](=[O])(=[O])[N]([H])[H])[s]1,25.0,7.4
489,-0.26,[H][N]([C](=[O])[C]([H])([H])[H])[c]1[n][n][c]([S](=[O])(=[O])[N]([H])[H])[s]1,35.0,7.2
510,-1.26,[H][O][C](=[O])[C]([H])([H])[C]([H])([O][H])[C](=[O])[O][H],20.0,1.42
512,-1.26,[H][O][C](=[O])[C]([H])([H])[C]([H])([O][H])[C](=[O])[O][H],25.0,1.42
548,-3.41,[H][O][C](=[O])[C]([H])([N]([H])[H])[C]([H])([H])[C](=[O])[N]([H])[H],25.0,7.0
715,-1.11,[H][c]1[n][c]2[c]([n][c]([H])[n]2[H])[c](=[O])[n]1[H],23.0,5.7
724,1.5,[H][O][C](=[O])[c]1[c]([H])[s][c]([H])[c]1[H],25.0,2.7976
774,0.49,[H][N]([C](=[O])[C]([H])([H])[H])[c]1[n][n][c]([S](=[O])(=[O])[N]([H])[C]([H])([H])[H])[s]1,35.0,7.2
778,0.13,[H][N]([H])[S](=[O])(=[O])[c]1[n][n]([C]([H])([H])[H])/[c](=[N]/[C](=[O])[C]([H])([H])[H])[s]1,22.0,7.4
779,0.13,[H][N]([H])[S](=[O])(=[O])[c]1[n][n]([C]([H])([H])[H])/[c](=[N]/[C](=[O])[C]([H])([H])[H])[s]1,25.0,7.4
791,-2.5,[H][O][C](=[O])[C]1([H])[N]([H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],25.0,6.3
891,-2.11,[H][O][C](=[O])[C]([H])([N]([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],20.0,5.98
1133,0.3,[H][O][C](=[O])[c]1[n][c]([Cl])[c]([Cl])[c]([N]([H])[H])[c]1[Cl],10.0,2.8
1134,0.3,[H][O][C](=[O])[c]1[n][c]([Cl])[c]([Cl])[c]([N]([H])[H])[c]1[Cl],20.0,2.8
1135,0.3,[H][O][C](=[O])[c]1[n][c]([Cl])[c]([Cl])[c]([N]([H])[H])[c]1[Cl],30.0,2.8
1136,0.3,[H][O][C](=[O])[c]1[n][c]([Cl])[c]([Cl])[c]([N]([H])[H])[c]1[Cl],40.0,2.8
1265,1.37,[H][O][c]1[c]([N+](=[O])[O-])[c]([H])[c]([H])[c]([H])[c]1[N+](=[O])[O-],15.0,3.32
1326,-0.68,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C](=[O])[O][C]([H])([H])[H],22.0,4.0
1431,-0.2,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C](=[O])[N]([H])[C]([H])([H])[H],22.0,4.0
1515,0.54,[H][O][P](=[O])([O][H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],15.0,0.8991
1539,-0.62,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]([H])[c]1[N]([H])[H],37.0,6.9
1542,-0.35,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([H])([C]([H])([H])[C]([H])([H])[H])[C]1=[O],25.0,2.31
1575,-0.02,[H][O][C]([H])([H])[C]([H])([H])[n]1[c]([C]([H])([H])[H])[n][c]([H])[c]1[N+](=[O])[O-],25.0,3.16
1576,-0.02,[H][O][C]([H])([H])[C]([H])([H])[n]1[c]([C]([H])([H])[H])[n][c]([H])[c]1[N+](=[O])[O-],25.0,2.69
1592,-0.06,[H][N]([H])[c]1[n][c]([N]([H])[H])[n][c]([N]([H])[C]2([H])[C]([H])([H])[C]2([H])[H])[n]1,20.0,7.0
1593,-0.06,[H][N]([H])[c]1[n][c]([N]([H])[H])[n][c]([N]([H])[C]2([H])[C]([H])([H])[C]2([H])[H])[n]1,25.0,7.0
1692,2.72,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C]([H])([H])/[C]([H])=[C](\[H])[C]([H])([H])[C]1([H])[C]([H])([O][H])[C]([H])([H])[C]([H])([O][H])[C]1([H])/[C]([H])=[C](\[H])[C]([H])([O][H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],25.0,4.44
