,smiles,logP,pH,Temperature
21319,CC(C)[C@@H](NC(=O)CN)C(O)=O,-1.33,7.0,25.0
21320,C[C@H](N)C(=O)N[C@@H](C)C(O)=O,-2.0,7.0,25.0
30396,CCC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,-2.6,7.0,25.0
30397,CC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,-1.13,7.0,25.0
30398,CC(C)C[C@H](NC(=O)CN)C(O)=O,-0.78,7.0,25.0
30399,CC(C)C(N)C(=O)NC(C)C(O)=O,-1.14,7.0,25.0
30400,CC(C)C(N=C(O)C(N)CO)C(O)=O,-1.53,7.0,25.0
39404,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,-2.82,7.0,25.0
39405,CC(C)CC(NC(=O)C(N)CO)C(O)=O,-2.49,7.0,25.0
39406,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(O)=O,-2.41,7.0,25.0
39407,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1)C(O)=O,-2.56,7.0,25.0
39408,CC(C)CC([NH3+])C(=O)N1CCCC1C([O-])=O,-1.76,7.0,25.0
39409,CCC(C)C(N)C(=O)N1CCCC1C([O-])=O,-1.79,7.0,25.0
39410,[H]N([H])C([H])([H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],-0.56,7.0,25.0
39411,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,-0.32,7.0,25.0
39412,C[C@H](N)C(O)=O.CC(C)C[C@H](N)C(O)=O,-0.54,7.0,25.0
39413,N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O,-0.5,7.0,25.0
39414,CC(C)C(NC(=O)C(N)C(C)O)C(O)=O,-1.25,7.0,25.0
48738,CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(O)=O,-1.46,7.0,25.0
48739,CC(C)CC(N)C(=O)NC(C(C)C)C(O)=O,-2.05,7.0,25.0
48740,CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,-2.07,7.0,25.0
48741,CCC(C)C(N)C(=O)NC(C(C)CC)C(O)=O,-1.82,7.0,25.0
48742,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(C)C)C(O)=O,-1.64,7.0,25.0
48743,CSCCC(N)C(=O)NC(C(C)C)C(O)=O,-2.53,7.0,25.0
48744,CC(O)C(NC(=O)C(N)CC1=CNC=N1)C(O)=O,-2.23,7.0,25.0
48745,CC(C)C[C@H](N)C(=O)N[C@H](C(C)C)C(O)=O,0.26,7.0,25.0
48746,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,0.16,7.0,25.0
48747,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(C)C)C(O)=O,0.68,7.0,25.0
48748,CSCCC(N)C(=O)NC(C(C)C)C(O)=O,-0.28,7.0,25.0
48749,NC(CO)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.79,7.0,25.0
48750,CCC(C)C(N=C(O)C(N)C(C)O)C(O)=O,-0.86,7.0,25.0
48751,CC(C)C(N=C(O)C(N)CC(O)=N)C(O)=O,-1.85,7.0,25.0
48752,CCC(C)C(N=C(O)C(N)CC(O)=N)C(O)=O,-1.43,7.0,25.0
48753,CC(C)C[C@H](N)C(=O)N[C@@H](CC(N)=O)C(O)=O,-1.3,7.0,25.0
48754,CCC(C)C(N)C(O)=NC(CC(O)=N)C(O)=O,-1.41,7.0,25.0
48755,CC(C)C(NC(=O)CCC(N)C(O)=O)C(O)=O,-1.85,7.0,25.0
48756,CC(C)C[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O,-1.32,7.0,25.0
48757,CC(C)C(N)C(=O)NC(CCC(N)=O)C(O)=O,-1.82,7.0,25.0
48758,CC(C)CC(N=C(O)C(N)CCCCN)C(O)=O,-0.26,13.0,25.0
57914,CC(C)C[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,-1.17,7.0,25.0
57915,CC(C)CC(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.15,7.0,25.0
57916,C[C@H](NC(=O)[C@@H](N)CC1=CNC2=C1C=CC=C2)C(O)=O,-1.98,7.0,25.0
57917,CC(C)C([NH3+])C(=O)NC(CC1=CC=C(O)C=C1)C([O-])=O,-2.52,7.0,25.0
57918,CSCCC(NC(=O)C(N)CC(C)C)C(O)=O,-1.87,7.0,25.0
57919,CSCCC(N)C(=O)NC(CC(C)C)C(O)=O,-1.84,7.0,25.0
57920,OC(=O)C(CC1=CC=CC=C1)NC(=O)C1CCCN1,-2.07,7.0,25.0
57921,N[C@@H](CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(O)=O,-1.36,7.0,25.0
57922,CC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(O)=O,0.43,7.0,25.0
57923,CC(C)C(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,-0.2,7.0,25.0
57924,NC(CC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.14,7.0,25.0
66500,[H]OC(=O)C([H])(N([H])C(=O)C([H])(N([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],-0.85,7.0,25.0
66501,CC(C)CC(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,-0.73,7.0,25.0
66502,CC(C)CC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,-1.94,7.0,25.0
66503,CC(C)CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,-1.75,7.0,25.0
66504,CSCC[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,-1.59,7.0,25.0
66505,CC(C)C(NC(=O)C([NH3+])CC1=CC=CC=C1)C(=O)NCC([O-])=O,-2.33,7.0,25.0
66506,CC(C)CC(N)C(=O)NC(CC1=CNC2=C1C=CC=C2)C(O)=O,-2.1,7.0,25.0
66507,CC(C)CC(N)C(=O)NC(C)C(=O)NC(CC(C)C)C(O)=O,-2.03,7.0,25.0
66508,[NH3+]C(CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)NCC([O-])=O,-2.72,7.0,25.0
