,smiles,logP,pH,Temperature
28,CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1S(N)(=O)=O)C1=CC(=CC=C1)C(N)=N,1.5,,
29,CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1S(N)(=O)=O)C1=CC(CN)=CC=C1,1.7,,
30,COC1=CC=C(C=C1)N1N=C(C)C=C1C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1S(N)(=O)=O,2.9,,
31,CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=C(C=CC=C1)S(N)(=O)=O)C1=CC=C(C=C1)C(N)=O,2.1,,
32,CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1S(N)(=O)=O)C1=CC2=C(ON=C2N)C=C1,2.3,,
33,CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=C(C=CC=C1)S(N)(=O)=O)C1=CC2=C(C=CN=C2N)C=C1,2.6,,
34,CC1=CN(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)OC3=CC=C(CC(N)C(O)=O)C=C3)O2)C(=O)NC1=O,0.25,7.2,
35,CC1=CN(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)OC3=CC=C(CC(N)CO)C=C3)O2)C(=O)NC1=O,0.64,7.2,
36,CC1=CN(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)OC3=CC=C(CC(N)C(N)=O)C=C3)O2)C(=O)NC1=O,1.27,7.2,
37,CC(=O)NC(CC1=CC=C(OP(=O)(OCCSC(=O)C(C)(C)C)OCC2OC(CC2N=[N+]=[N-])N2C=C(C)C(=O)NC2=O)C=C1)C(N)=O,1.52,7.2,
38,CCCCCCCC[N+](C)(C)CCS([O-])(=O)=O,0.29,,
39,CCCCCCCCCCCC[N+](C)(C)CCS([O-])(=O)=O,1.79,,
40,CCCCCC[N+](C)(C)CCCS([O-])(=O)=O,-1.22,,
41,CCCCCCC[N+](C)(C)CCCS([O-])(=O)=O,-1.97,,
42,CCCCCCCC[N+](C)(C)CCCS([O-])(=O)=O,-0.47,,
43,CCCCCCCCCC[N+](C)(C)CCCS([O-])(=O)=O,0.57,,
44,CCCCCCCCCCCC[N+](C)(C)CCCS([O-])(=O)=O,1.65,,
45,C[N+](C)(CCCS([O-])(=O)=O)CC1=CC=CC=C1,-2.27,,
46,C[N+](C)(CCCS([O-])(=O)=O)CCC1=CC=CC=C1,-1.87,,
47,C[N+](C)(CCCC1=CC=CC=C1)CCCS([O-])(=O)=O,-1.57,,
48,C[N+](C)(CCCCC1=CC=CC=C1)CCCS([O-])(=O)=O,-1.17,,
49,CCCCC1=CC=C(CCC[N+](C)(C)CCCS([O-])(=O)=O)C=C1,0.55,,
50,CCCCCCC1=CC=C(CCC[N+](C)(C)CCCS([O-])(=O)=O)C=C1,1.89,,
51,CCCCCC[N+](C)(C)CCCCS([O-])(=O)=O,-1.08,,
52,CCCCCCC[N+](C)(C)CCCCS([O-])(=O)=O,-1.23,,
53,CCCCCCCC[N+](C)(C)CCCCS([O-])(=O)=O,-0.36,,
54,C[N+](C)(CCCCS([O-])(=O)=O)CC1=CC=CC=C1,-2.32,,
55,C[N+](C)(CCCCS([O-])(=O)=O)CCC1=CC=CC=C1,-2.06,,
56,C[N+](C)(CCCCS([O-])(=O)=O)CCCC1=CC=CC=C1,-1.7,,
57,C[N+](C)(CCCCC1=CC=CC=C1)CCCCS([O-])(=O)=O,-1.41,,
58,CCCCC1=CC=C(CCC[N+](C)(C)CCCCS([O-])(=O)=O)C=C1,0.3,,
59,CCCCCCC1=CC=C(CCC[N+](C)(C)CCCCS([O-])(=O)=O)C=C1,1.64,,
72,CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=C2C=CC(Cl)=C3)=C1,3.01,7.4,
73,CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC=CC=C1,0.96,7.4,
74,CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC=C(O)C=C1,1.14,7.4,
75,CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC=C(F)C=C1,0.7,7.4,
76,CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC=C(OC(C)=O)C=C1,1.67,7.4,
77,CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC(=CC=C1)N(=O)=O,1.32,7.4,
78,CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC(Cl)=CC=C1,2.27,7.4,
79,CCOC(=O)C1=C(NC2=CC=C(O)C=C2)C2=C(N=C1)N(N=C2C)C1=CC=CC=C1,1.69,7.4,
80,CCOC(=O)C1=CN=C2N(N=C(C2=C1NC1=CC=C(O)C=C1)C1=CC=CC=C1)C1=CC=CC=C1,3.09,7.4,
81,CCOC(=O)C1=CN=C2N(N=C(C)C2=C1NC1=CC(CN(CC)CC)=C(O)C=C1)C1=CC=CC=C1,2.05,7.4,
82,CCOC(=O)C1=CN=C2N(N=C(C2=C1NC1=CC(CN(CC)CC)=C(O)C=C1)C1=CC=CC=C1)C1=CC=CC=C1,3.45,7.4,
83,OCC(=O)C1CCCN1C(=O)C1CCCN1C(=O)NC1=CC=CC=C1,0.2,,
84,OCC(=O)C1CCCN1C(=O)C1CCC=C1C(=O)NCC1=CC=CC=C1,0.6,,
85,O=C(CCCC1=CC=CC=C1)N1CCCC1C(=O)N1CCCC1C#N,1.6,,
86,O=C(CCCC1=CC=CC=C1)N1CCCC1C(=O)N1CCCC1,1.8,,
87,O=C(CCCC1=CC=CC=C1)C1=CCCC1C(=O)N1CCCC1C#N,2.4,,
88,CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,0.82,7.4,
89,CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,0.44,7.4,
