,smiles,logP,pH,Temperature
21317,CC(C)[C@@H](NC(=O)CN)C(O)=O,-1.33,,25.0
21318,C[C@H](N)C(=O)N[C@@H](C)C(O)=O,-2.0,,25.0
21319,CC(C)[C@@H](NC(=O)CN)C(O)=O,-1.33,7.0,25.0
21320,C[C@H](N)C(=O)N[C@@H](C)C(O)=O,-2.0,7.0,25.0
23197,CC(=O)OC1=C(C=CC=C1)C(O)=O,1.1,,37.0
23198,CN1N(C(=O)C=C1C)C1=CC=CC=C1,0.56,,25.0
30392,CC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,-1.13,,25.0
30393,CC(C)C[C@H](NC(=O)CN)C(O)=O,-0.78,,25.0
30394,CC(C)C(N)C(=O)NC(C)C(O)=O,-1.14,,25.0
30395,CC(C)C(N=C(O)C(N)CO)C(O)=O,-1.53,,25.0
30396,CCC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,-2.6,7.0,25.0
30397,CC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,-1.13,7.0,25.0
30398,CC(C)C[C@H](NC(=O)CN)C(O)=O,-0.78,7.0,25.0
30399,CC(C)C(N)C(=O)NC(C)C(O)=O,-1.14,7.0,25.0
30400,CC(C)C(N=C(O)C(N)CO)C(O)=O,-1.53,7.0,25.0
32230,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,-1.8,,37.0
32231,NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1,0.1,,25.0
32232,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,4.0,,25.0
32234,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,-0.09,,25.0
39399,[H]N([H])C([H])([H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],-0.56,,25.0
39400,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,-0.32,,25.0
39401,C[C@H](N)C(O)=O.CC(C)C[C@H](N)C(O)=O,-0.54,,25.0
39402,N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O,-0.5,,25.0
39403,CC(C)C(NC(=O)C(N)C(C)O)C(O)=O,-1.25,,25.0
39404,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,-2.82,7.0,25.0
39405,CC(C)CC(NC(=O)C(N)CO)C(O)=O,-2.49,7.0,25.0
39406,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(O)=O,-2.41,7.0,25.0
39407,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1)C(O)=O,-2.56,7.0,25.0
39408,CC(C)CC([NH3+])C(=O)N1CCCC1C([O-])=O,-1.76,7.0,25.0
39409,CCC(C)C(N)C(=O)N1CCCC1C([O-])=O,-1.79,7.0,25.0
39410,[H]N([H])C([H])([H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],-0.56,7.0,25.0
39411,CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,-0.32,7.0,25.0
39412,C[C@H](N)C(O)=O.CC(C)C[C@H](N)C(O)=O,-0.54,7.0,25.0
39413,N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O,-0.5,7.0,25.0
39414,CC(C)C(NC(=O)C(N)C(C)O)C(O)=O,-1.25,7.0,25.0
41083,COC1=C(N=C2NCCN2)C(Cl)=NC(C)=N1,0.9,,25.0
41084,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,3.4,,37.0
41085,NC(=O)N1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,2.45,,25.0
