,logP,Temperature,smiles
0,0.35,25.0,O=C
2,1.83,25.0,C1(=O)C=C2CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C3(F)C2(C)C=C1
3,2.19,,C1C(=O)C=C2CCC3C4CCC(O)(C(=O)COC(=O)C)C4(C)CC(O)C3C2(C)C1
4,2.1,25.0,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C
5,1.47,,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2
6,-0.4,,O=C1C(N)=C(C)C(=O)C2=C1C(COC(=O)N)C3(OC)C(N4)C4CN23
9,1.15,25.0,CCC1(CC)C(=O)NC(=O)N(C)C1=O
10,1.69,,CCC1(NC(=O)N(C)C1=O)c2ccccc2
13,0.63,,C1CCNP(=O)(N(CCCl)CCCl)O1
15,-0.72,25.0,O=C(O)C(O)C
16,1.94,25.0,CC34CC(O)C1C(CCC2=CC(=O)CCC12C)C3CCC4C(=O)CO
17,1.61,25.0,O=C(C(O)(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3O)C2)C4)(C3)C)C4)CO
18,1.62,25.0,C1C2=CC(=O)C=CC2(C)C3C(O)CC4(C)C(O)(C(=O)CO)CCC4C3C1
19,2.45,,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O
20,4.01,,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4O
21,6.91,,c(ccc(c1)Cl)(c1)C(c(ccc(c2)Cl)c2)C(Cl)(Cl)Cl
22,2.23,,OC(=O)c1c(Cl)cccc1Cl
24,6.13,,c(c(c(cc1)ccc2)c2cc3)(c3cc(c4ccc5)c5)c14
25,3.16,25.0,O=C(N(N(C1=O)c(cccc2)c2)c(cccc3)c3)C1CCCC
27,0.33,,c1ccc2C(=O)N(C3C(=O)NC(=O)CC3)C(=O)c2c1
28,2.3,25.0,COC(=O)C1C(CC2CCC1N2C)OC(=O)c3ccccc3
29,2.95,,CCN(CC)C(=O)C2CN(C)C1Cc3cnc4cccc(C1=C2)c34
34,0.01,,n1cnc2ncnc2c1S
36,4.9,,CNCCCN2c1ccccc1CCc3ccccc23
37,4.92,,CN(C)CCC=C2c1ccccc1CCc3ccccc23
38,4.8,,CN(C)CCCN2c1ccccc1CCc3ccccc23
40,5.9,,CSc4ccc3Sc1ccccc1N(CCC2CCCCN2C)c3c4
41,5.41,25.0,CN(C)CCCN2c1ccccc1Sc3ccc(Cl)cc23
45,-1.62,,OC(=O)C2=C(CSC3C(NC(=O)Cc1cccs1)C(=O)N23)Cn4(H)ccccc4
51,0.21,25.0,NCCc1cnc2ccc(O)cc12
52,-2.32,,OCC1OC(O)C(O)C1O
53,-2.2,,OCC(O)C(O)C(O)C(O)CO
54,-1.84,,O=C(NC(=O)C(=O)C1=O)N1
58,1.19,25.0,O=C(Oc(c(ccc1)C(=O)O)c1)C
59,2.82,,OC(=O)c1c(Cl)ccc(Cl)c1
60,-1.85,,O1C(=O)C(O)=C(O)C1C(O)CO
63,2.99,,Cc1ccc(C(O)=O)c(O)c1
64,1.62,,c1c(O)c(C(=O)O)ccc1NC(=O)C
65,-0.93,,O=C(N(C=C(C1=O)C)C(OC(C2O)CO)C2)N1
67,-1.16,,OCC1OC(CC1O)N2C=C(F)C(=O)NC2=O
70,-2.45,,c1ccccc1C(O)C(C)N(Cl)(H)C
71,-3.24,,OCC1C(O)C(O)C(O)C(O)O1
73,4.75,,O(c(c(O1)cc(c2CCC)COCCOCCOCCCC)c2)C1
75,0.88,,CCN(CC)CCNC(=O)c1ccc(N)cc1
76,0.87,25.0,O=C(CCNNC(=O)c1ccncc1)NCc2ccccc2
79,1.32,25.0,n(c(c(n1)ccc2)c2)c1
81,-0.21,,N1C(=O)NC(=O)C(Br)=C1
82,-0.89,,N1C(=O)NC(=O)C(F)=C1
85,1.67,,O=N(=O)c(ccc(O)c1N(=O)=O)c1
87,-2.69,,c1cc(O)c(O)cc1C(O)CN(Cl)(H)(H)C(C)C
88,0.98,,CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4
89,-3.17,,O=C(O)C(NCC1O)C1
90,3.0,,OC(=O)c1cc(Cl)cc(Cl)c1
93,-1.24,,c1cc(O)c(O)cc1C(O)CN
95,-1.37,,OC(c(ccc(O)c1O)c1)CNC
96,3.25,,OC(=O)c1cc(Cl)c(Cl)cc1
97,-0.7,,C1=NC=C(CCN)N1
102,1.83,25.0,O=C(OC(CC(N(C1C2)C)C2)C1)C(c(cccc3)c3)CO
106,-0.98,,NCCc1ccc(O)c(O)c1
108,1.76,,NC(C)Cc(cccc1)c1
110,1.03,25.0,O=C(Nc(ccc(OC)c1)c1)C
115,0.91,,CN(CCCl)CCCl
118,-0.15,,O=C(OCC)N
123,-3.14,,CCN(C)(C)(C)I
125,2.78,,O=C(OC(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2SC(=O)C)C4)(C3)C)(C4)C5)C5
126,2.4,,O=C1C=C2CCC3C4CCC(O)(C(=O)COC(=O)C)C4(C)CC(O)C3C2(C)C=C1
127,0.53,,S=P(N1CC1)(N2CC2)N3CC3
128,-1.4,25.0,CN4(OP(=O)(O)O)(H)CCC23C1=C5C=CC(OC)=C1OC2C(O)C=CC3C4C5
130,1.77,,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2
131,1.08,,C1C(=O)C=C2CCC3C4CCC(C(=O)CO)C4(C5O)CC(O5)C3C2(C)C1
134,1.15,,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
135,0.91,,C1(=O)NC(=O)C2(CCCCC2)C(=O)N1
136,1.78,,N1C(=S)NC(=O)C2(C1=O)CCCCC2
140,-2.28,,O=C(O)C(N)(CCC1)C1
141,3.79,,COc2ccc(CCN(C)CCCC(C#N)(C(C)C)c1ccc(OC)c(OC)c1)cc2OC
147,-1.78,,CC(C)(S)C(N)C(O)=O
148,0.51,,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
151,2.23,,O=S(=O)(N(C)C)c(ccc(OP(OC)(OC)=S)c1)c1
152,4.3,,OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Cl)cc3
153,-2.22,,c1ccccc1C(CO)C(=O)OC2CC(N3(ON(=O)=O)(C)C)CCC3C2
155,-2.49,,O=C(O)C(N)CS
156,1.46,,C1(=O)C=C2CCC3C4CCC(O)(C(=O)CO)C4(C)CC(=O)C3C2(C)C=C1
158,1.47,25.0,CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34
160,3.13,,O=C(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4
169,3.69,,C1C(O)CC2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1
170,3.23,,C1C(O)CC2=CCC3C4CCC(=O)C4(C)CCC3C2(C)C1
173,2.94,,CN(C)(H)(Cl)CCCN2c1ccccc1Sc3ccccc23
175,6.75,,c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3
176,0.03,,c1nc2c(N(C)C)ncnc2n1C3OC(CO)C(NC(=O)C(N)Cc4ccc(OC)cc4)C3O
178,4.27,25.0,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1
183,0.78,,NCCc1cc(OC)c(OC)c(OC)c1
184,4.63,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
186,1.17,25.0,n(cccc1C(N(CC2)C)C2)c1
187,-1.05,,O=C(O)C(N)CC(c(c(N1)ccc2)c2)=C1
189,0.04,,N1C(=O)NC(=O)C(C(F)(F)F)=C1
190,-1.43,,Oc1ccccc1C(=O)O[Na]
191,-2.14,,OCC1OC(C(O)C1O)N2N=CC(=O)NC2=O
193,2.03,,NS(=O)(=O)c2cc(C(O)=O)c(NCc1ccco1)cc2Cl
194,3.17,,c1c(C)c(OC(=O)C)cc(C(C)C)c1OCCN(C)C
197,-0.96,,O=C(N(C=C(C1=O)I)C(OC(C2O)CO)C2)N1
199,-0.27,,CC(N)C(O)c1cccc(O)c1
204,3.0,,c1cc2ccccc2cc1C(O)CNC(C)C
205,-0.7,,NNC(=O)c1ccncc1
209,0.42,,BrCCC(=O)N1CCN(C(=O)CCBr)CC1
210,0.37,,c1cnccc1C(=O)NNC(C)C
211,0.14,,n(nnn1CCCCC2)c12
216,0.48,,O=NN(CC)CC
217,0.64,,O=C(N)c(cccc1)c1
218,0.32,,O=C(O)c(ccnc1)c1
223,4.09,25.0,COP(=S)(OC)Oc1ccc(SC)c(C)c1
230,0.08,25.0,N=C(NCCCCCCNC(=N)NC(=N)Nc(ccc(c1)Cl)c1)NC(=N)Nc(ccc(c2)Cl)c2
231,1.62,,O=N(=O)OCC(ON(=O)=O)CON(=O)=O
238,1.17,,O=P(F)(OC(C)C)OC(C)C
242,-0.52,,CS(=O)(=O)OCCCCOS(C)(=O)=O
249,-3.17,25.0,O=C(O)CCCN
251,2.83,,C(Cl)(Cl)(Cl)Cl
254,1.98,,CN2C(=O)NC(=O)C(C)(C1=CCCCC1)C2=O
256,-3.15,,CCN(CC)(CC)(CC)Cl
260,3.83,25.0,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
261,-3.21,25.0,O=C(O)CN
262,-2.85,25.0,O=C(O)C(N)C
263,-3.07,25.0,O=C(O)C(N)CO
264,3.08,,C1C(=O)C=C2CCC3C4CCC(C(=O)COC(=O)C)C4(C)CCC3C2(C)C1
265,6.42,,c(c(ccc1C)cc(c2ccc3cccc4)c34)(c1CC5)c25
266,5.07,,Oc(ccc(C(=C(c(ccc(O)c1)c1)CC)CC)c2)c2
267,3.44,25.0,O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C
268,5.76,,c(c(c(c(c1)ccc2)c2)cc(c3ccc4)c4)(c1)c3
269,1.09,,O=N(=O)c1ccn(=O)c2ccccc12
272,4.13,,S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1
274,1.14,25.0,O=C(NC(C(O)c(ccc(N(=O)=O)c1)c1)CO)C(Cl)Cl
275,-1.76,25.0,OCC(O)CO
277,-3.89,,O=C(O)C(N)CC(=O)O
278,-3.64,25.0,O=C(O)C(N)CCC(=O)N
279,-3.69,25.0,O=C(O)C(N)CCC(=O)O
280,-3.05,25.0,O=C(O)C(N)CCCCN
282,-5.08,,O=C(O)C(N)CSSCC(N)C(=O)O
283,1.03,,OC(=O)c1ccc(CN)cc1
285,-2.17,,CN(C)(C)(Cc1ccccc1)Cl
294,7.17,,O=C(O)CCCCCCCCCCCCCCC
295,8.23,,O=C(O)CCCCCCCCCCCCCCCCC
297,-2.11,25.0,O=C(N)N
299,2.03,,OC(C(Cl)(Cl)Cl)(C)C
300,2.82,,c46c(c9c(n6)cccc9)CCN7CC(CC(C7)(CC)O)CC4(c5cc8c(cc5OC)N(C=O)C1C82C3C(C(=CCN3CC2)CC)C(C1(C(=O)OC)O)OC(=O)C)C(=O)OC
301,1.93,,O=C(N(c(c(C1(C(N(C2)CC(C3C4C5OC6)=C6)C3)C2)ccc7)c7)C14)C5
302,0.89,25.0,C1=CC2C(N(C)C5)Cc3ccc(O)c4c3C2(C5)C(O4)C1O
307,2.47,,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
308,2.72,,CCOC(=O)C1(CCN(C)CC1)c2ccccc2
309,2.07,25.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
310,0.65,25.0,CCC1(CC)C(=O)NC(=O)NC1=O
311,1.58,,O=C(Oc(ccc(N(C(N(CC1)C)C12C)C)c23)c3)NC
