smiles,logP,pH
COc1ccccc1[C@@H]1CC(=O)Nc2cc(C)c(C)cc21,4.17,5.0
COc1ccc2c(c1)O[C@](O)(C(F)(F)F)CC2=O,2.79,5.0
CC(C)(C)C1(C)OC(C(N)=O)C(C(N)=O)O1,1.6,6.5
CCOc1cc(-c2nnc(-c3ccco3)o2)cc(OCC)c1OCC,3.96,10.5
C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,5.3,7.3
Cc1ccc([C@@H](O)C#CC(O)(c2ccccc2)c2ccccc2)o1,3.53,10.5
CC(C)(C)c1cc(Cc2ccccc2)[nH]n1,4.35,10.5
C[C@H]1C[C@H](NC(=S)NCc2csc3ccccc23)CC(C)(C)C1,6.21,5.0
CCN=c1[nH]c(Oc2ccc(OCC)nn2)nc(=NC(C)C)[nH]1,3.14,10.5
c1ccc2c(c1)OCCOCCOCCO2,1.81,5.0
N#CC1C(=N)Oc2c(c(=O)oc3ccccc23)[C@H]1c1cccs1,2.34,10.5
CCOC(=O)CC1=Nn2c(nnc2-c2cccs2)SC1,2.98,10.0
O=C(Nc1ccc(C(F)(F)F)cc1)C1CCc2ccccc2O1,4.5,5.0
COCc1cc(OC(=O)N(C)C)nc(SCC(=O)C(C)(C)C)n1,3.33,5.0
O=C1C[C@@H](c2c(F)cccc2Cl)c2cc3c(cc2N1)OCCO3,3.96,5.0
CSc1scc(-c2cccs2)c1C#N,3.69,5.0
O=C(Nc1ccccc1C(F)(F)F)NC1CCCCC1,4.0,5.0
CCn1c(=NC[C@@H](O)c2ccccc2)[nH]c2c1c(=O)n(C)c(=O)n2C,3.24,6.5
Cc1nc2c(=N)[nH][nH]c(=N)c2nc1C,1.14,10.5
N#Cc1nc(N2CCCC2)nc(N(c2ccccc2)c2ccccc2)n1,5.38,6.5
N#CCc1nc(-c2ccc3c(c2)OCCCO3)cs1,2.68,5.0
CN(C)C(=O)C1OC(C)(C)OC1C(=O)N(C)C,1.49,5.0
COC(=O)C1OC(c2ccccc2)OC1C(=O)OC,2.49,5.0
CCN(CC)c1ccc(C=C2C(=O)c3ccccc3C2=O)c(OC)c1,5.05,10.5
CC(C)(C)S(=O)(=O)C(C#N)C=Nc1ccc(OC(F)(F)F)cc1,4.28,6.5
CCCC1C(=O)C[C@H](C(C)C)C(C#N)(C#N)C1(C#N)C#N,3.3,5.0
CC12CCCC(C(N)=O)(CCC1)C2,2.73,5.0
Cc1c(C)c(C)c(CSc2nnc(CC#N)n2C)c(C)c1C,4.14,6.5
CCOc1nc(C#N)nc(N2CCOCC2)n1,2.46,5.0
Cc1cc(C)c([C@H]2[C@@H]3CCCC=C3C(C#N)C(=N)C2(C#N)C#N)c(C)c1,5.48,5.0
O=C1C2[C@@H]3C[C@H]4[C@@H]5[C@@H]([C@H]1[C@@H]53)C1(OCCO1)[C@@H]24,0.51,2.0
O=C(c1ccc(F)cc1)C1CC1,2.61,5.0
C[C@@]1(c2ccc(Cl)cc2Cl)OC[C@@H](Cn2cncn2)O1,3.68,10.0
N=c1[nH]c2nc3[nH]c(=N)sc3cc2s1,1.56,10.0
CC1(C)C(C(=O)N2CCOCC2)CC[C@]1(C)C(=O)N1CCOCC1,2.46,5.0
Cc1nc(-c2ccc(Cl)cc2)cs1,3.65,7.3
CN(C)/C=C/C(=O)c1ccc(C#Cc2ccccc2)cc1,4.69,10.5
CCCn1c(=O)c(Br)cn(-c2ccccc2C)c1=O,2.82,5.0
COC(=O)COc1cc2occ(-c3csc(C)n3)c(=O)c2cc1C,3.9,10.5
Cc1ccc2c(C)[nH]c(=Nc3nc(=O)c4c([nH]3)CCCC4)nc2c1,3.92,10.0
CCCCOc1ccc(/C=C/C(=O)NC(C)C)cc1,4.45,5.0
CCN(CC)S(=O)(=O)N1CCCC(C(=O)NC2CCCCC2)C1,3.58,5.0
CC(C)=CCCC1=NN(C=O)[C@@](C)(CCC=C(C)C)C1,5.02,10.5
CC(NS(C)(=O)=O)c1ccccc1,1.8,5.0
CC[C@]1(C)NC(=S)N2N1C(=S)N[C@@]2(C)CC,2.44,5.0
CCCc1[nH]nc2c1[C@H](c1ccsc1C)C(C#N)C(=N)O2,3.83,10.5
CC(C)(C)C(=O)Nc1ccc(NC(=O)C(C)(C)C)cc1,2.79,5.0
COC(=O)NC(=O)C(O)c1ccccc1,1.41,5.0
COc1ccc(-c2n[nH]c(=N)s2)cc1OC,2.34,6.5
N#CCc1nc(-c2ccc3c(c2)OCCO3)cs1,2.92,5.0
O=C(CSc1nc2ccccc2s1)c1cccs1,4.04,5.0
