smiles,logP
CC1=CC(=O)C=CC1=O,0.72
c1ccc(P(c2ccccc2)c2ccccc2)cc1,5.69
O=S(Cc1ccccc1)Cc1ccccc1,1.99
COc1ccc(CC#N)cc1,1.7
CN(Cc1ccccc1)c1ccccc1,4.22
CCN(CC)C(C)=O,0.34
C[Si](C)(C)Cc1ccccc1,4.13
CC(=O)c1ccncc1,0.48
CCN(CC)N=O,0.48
CCCN(CCC)N=O,1.36
CC(C)CN(CC(C)C)N=O,2.34
O=NN1CCCCC1,0.36
O=NN1CCOCC1,-0.44
O=C(O)CBr,0.41
O=C(O)CCl,0.22
Nc1ccccc1C(=O)O,1.21
O=[PH](=O)(O)c1ccccc1,0.54
O=C(O)c1ccccc1,1.87
O=C(O)c1ccc([N+](=O)[O-])cc1Cl,2.03
O=C(O)CO,-1.11
O=C(O)c1ccccn1,0.72
CC(Br)C(=O)O,0.92
O=C(O)CCCl,0.41
O=C(O)c1ccccc1O,2.26
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.71
O=C(O)c1cc([N+](=O)[O-])ccc1O,2.34
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.55
CCCCOC(N)=O,0.85
CC(=O)Nc1cc(C)cc(C)c1,2.17
O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],3.37
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-0.04
Nc1ccc(Cl)c(Cl)c1,2.69
NC(=S)N/N=C/c1ccccc1,1.86
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.89
O=C(O)CCCc1ccccc1,2.42
O=C(O)Cc1ccc2ccccc2c1,2.81
O=C(CCl)Nc1ccccc1,1.63
Cc1ccc(S(=O)(=O)N(C)N=O)cc1,0.58
CC(C)N(N=O)C(C)C,1.38
O=NN1CCN(N=O)CC1,-0.85
O=[N+]([O-])c1cccc2cccnc12,1.4
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,2.83
O=C(O)Cc1ccccc1F,1.5
O=C(O)Cc1ccc(F)cc1,1.55
Oc1ccc(O)c(Cl)c1,1.4
C[N+](=O)[O-],-0.35
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,3.31
N=c1cccc[nH]1,0.48
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,5.25
O=C(O)CCS,0.43
c1ccc2c(c1)Sc1ccccc1S2,4.47
CCC(C)=NO,0.63
CC(=O)Nc1ccc(Cl)cc1,2.09
O=C1C=CC(=NCl)C=C1,1.26
OCC(F)(F)F,0.41
O=C(O)C1CCCCC1,1.96
Nc1cccc2c1C(=O)c1ccccc1C2=O,3.74
Cc1cc(C)nc(C)c1,1.88
c1ccc2c(c1)Oc1ccccc1S2,4.54
C1CNCCN1,-1.5
Cc1cc2ccccc2cn1,2.68
C#CC(C)(C)O,0.28
