smiles,Energy
COc1ccc(C(=O)N(C)C)cc1,-11.01
CS(=O)(=O)Cl,-4.87
C=CC(C)C,1.83
CCc1cnccn1,-5.45
CCCCCCCO,-4.21
Cc1cc(C)cc(O)c1,-6.27
CC(C)C(C)C,2.34
CCCC(C)(C)O,-3.92
C[C@H]1CCCC[C@H]1C,1.58
CC[C@H](C)O,-4.62
BrCBr,-1.96
CC[C@@H](O)C(C)C,-3.88
CCc1ccccn1,-4.33
CCCCC(=O)OCC,-2.49
Sc1ccccc1,-2.55
CC(C)=CCC/C(C)=C\CO,-4.78
c1ccc2c(c1)CCC2,-1.46
CCOc1ccccc1,-2.22
Oc1ccc(Br)cc1,-5.85
CCCC(C)(C)C,2.88
CC(=O)OCCOC(C)=O,-6.34
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
OC1CCCCCC1,-5.48
COC(=O)C1CC1,-4.1
N#Cc1ccccc1,-4.1
CCCCC#N,-3.52
CC(C)(C)O,-4.47
CC(C)C(=O)C(C)C,-2.74
CCC=O,-3.43
CN(C)C=O,-7.81
Cc1ccc(C)cc1,-0.8
C=CCC=C,0.93
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-6.78
CN(C)C(=O)c1ccccc1,-9.29
CCNCC,-4.07
CC(C)(C)c1ccc(O)cc1,-5.91
CC(C)CCOC=O,-2.13
CCCCCCCCCCO,-3.64
CCOC(=O)CC,-2.68
CCCCCCCCC,3.13
CNC(C)=O,-10.0
C=CCCCCCCC,2.06
Oc1ccc2ccccc2c1,-8.11
Clc1ccc(Cl)c(Cl)c1,-1.12
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-23.62
CCCC(=O)OC,-2.83
O=Cc1ccccc1O,-4.68
C1CNC1,-5.56
CCCNCCC,-3.65
Nc1ccccc1,-5.49
FC(F)(F)F,3.12
CC[C@@H](C)CO,-4.42
Oc1ccccc1I,-6.2
COc1cccc(OC)c1O,-6.96
C#CCC,-0.16
FC(F)(F)c1ccccc1,-0.25
NN,-9.3
Cc1ccccn1,-4.63
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,-10.22
Clc1cc2c(cc1Cl)Oc1ccccc1O2,-3.56
CCCCCCCCN,-3.65
N,-4.29
FC(F)(F)c1ccccc1C(F)(F)F,1.07
COC(=O)c1ccc(O)cc1,-9.51
CCCCCc1ccccc1,-0.23
CC(F)F,-0.11
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-16.43
C=CC=C,0.56
CN(C)C,-3.2
CCCCCC(N)=O,-9.31
CC(C)CO[N+](=O)[O-],-1.88
O=CCNc1cccc2c(O)c3ccccc3c(O)c12,-14.21
O=[N+]([O-])OCCO,-8.18
CCCCCCC(C)=O,-2.88
CN1CCNCC1,-7.77
CCN,-4.5
C1=CC=CCC=C1,-0.99
c1ccc2c(c1)Cc1ccccc1C2,-3.78
CC(Cl)Cl,-0.84
COc1cccc(O)c1,-7.66
c1cc2c3c(cccc3c1)CC2,-3.15
CCCCCCCCBr,0.52
OCc1ccccc1,-6.62
O=c1[nH]cc(Br)c(=O)[nH]1,-18.17
CCCC,2.1
CCl,-0.55
CC(C)CBr,-0.03
CC(C)SC(C)C,-1.21
CCCCCCC,2.67
c1c[nH]cn1,-9.63
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,-3.84
CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,-9.73
ICI,-2.49
CCCSC(=O)N(CCC)CCC,-4.13
C[N+](=O)[O-],-4.02
CCOC,-2.1
COC(CCl)(OC)OC,-4.59
CC(C)C,2.3
CC(C)CC(=O)O,-6.09
CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,-7.07
CCCCl,-0.33
CCCSCCC,-1.28
CCC[C@@H](O)CC,-4.06
CC#N,-3.88
CN(CC(F)(F)F)c1ccccc1,-1.92
FC(F)O[C@H](Cl)C(F)(F)F,0.1
C=CCCC=C,1.01
Cc1cccc(C)c1,-0.83
COC(C)=O,-3.13
COC(OC)(OC)c1ccccc1,-4.04
CCOC(=O)c1ccccc1,-3.64
CCCS,-1.1
CCCCCC(C)=O,-3.04
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-9.61
BrCc1ccccc1,-2.38
CCCCCC(=O)OCC,-2.23
CCCOC,-1.66
CN1CCOCC1,-6.32
N#Cc1cccc(O)c1,-9.65
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,-4.38
CCCc1ccccc1,-0.53
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-12.64
CNC,-4.29
FC(F)=C(F)C(F)(F)F,2.93
Oc1ccc(Cl)cc1,-7.03
C1CCNCC1,-5.11
c1ccc2c(c1)ccc1ccccc12,-3.88
CI,-0.89
COc1c(Cl)cc(Cl)c(OC)c1O,-6.44
Cl/C=C/Cl,-0.78
CCCCC,2.3
CCCC#N,-3.64
F[C@H](Br)C(F)(F)F,0.5
CC(C)Cc1cnccn1,-5.04
CC[C@H](C)O[N+](=O)[O-],-1.82
