logD,smiles,pH
3.54,Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,7.4
-1.18,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,7.4
3.69,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,7.4
3.37,O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,7.4
3.1,Cc1cccc(CC(NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,7.4
3.14,OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2,7.4
-0.72,COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCCCC2)cc1NC(=O)CCC(=O)O,7.4
0.34,CN=c1cccc(CCOc2ccc(CC(NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)[nH]1,7.4
3.05,COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,7.4
2.25,O=c1[nH]cnc2scc(-c3ccsc3)c12,7.4
1.51,CS(=O)(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,7.4
2.61,Cc1cc(=Nc2[nH]c(=NC(C)c3ccc(F)cn3)c(C#N)nc2C)[nH][nH]1,7.4
-0.08,O=C1CCCCCN1,7.4
1.95,CCCSc1ncccc1C(=O)N1CCCC1c1ccncc1,7.4
1.34,Cc1ccc(S(=O)(=O)N=c2c(C(=O)NC3CCCCC3C)c[nH]n2-c2ccccc2)cc1,7.4
3.2,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,7.4
1.6,COc1ccc(N2CCN(C(=O)C3CCCCC3C(=O)NCC#N)CC2)cc1,7.4
3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,7.4
3.15,COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@@H](O)C1,7.4
0.32,COC1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CCC1NCc1ccc2c(n1)NC(=O)CO2,7.4
2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2[nH]c(=O)sc12,7.4
1.92,O=C(N=c1[nH]nc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,7.4
3.17,COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1,7.4
2.17,O=C(O)c1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,7.4
1.2,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,7.4
3.93,O=C(CCCc1ccncc1)N1CCN(c2ccc(Cl)cc2Cl)CC1,7.4
1.9,COc1cnc(-c2ccccn2)nc1N(C)C,7.4
2.27,c1ccc(-c2cc(=NCCCCCCCCN=c3cc(-c4ccccc4)[nH]c4ccccc34)c3ccccc3[nH]2)cc1,7.4
1.2,CSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,7.4
1.14,CN=C1N=c2ncccc2=C(c2ncco2)NC1c1cccs1,7.4
2.6,CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1,7.4
3.3,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F,7.4
3.94,CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7.4
2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1,7.4
2.57,N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1,7.4
3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,7.4
2.06,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,7.4
4.33,Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,7.4
2.55,COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,7.4
2.78,CNC(=O)C1(N2CCCCC2=O)CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(C#N)cc3ccccc23)c2ccc(Cl)c(Cl)c2)CC1,7.4
1.4,O=C1Nc2ccccc2B(O)N1c1ccccc1,7.4
-0.54,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,7.4
2.91,N#CN=C(N)c1sc(=Nc2ccccc2)[nH]c1N,7.4
-0.4,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OC(C)C(=O)O)c(C)c1,7.4
-0.16,N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,7.4
2.2,COc1ccc(-c2cc3c(C)[nH]c(=N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,7.4
3.4,CC(N=c1[nH]cnc2ccccc12)c1ccccc1,7.4
1.1,CC(C)c1ccc2oc3[nH]c(=N)c(C(=O)O)cc3c(=O)c2c1,7.4
2.28,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3cccc4ccccc34)c2s1,7.4
3.47,COc1ccccc1Cn1c(C)nc2ccccc21,7.4
3.0,O=C(O)c1ccc(=NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)[nH]c1,7.4
-1.17,NC(Cc1c[nH]c2ccccc12)C(=O)O,7.4
1.95,O=C(O)CCC[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(F)ccc2[nH]1,7.4
-0.99,CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1,7.4
2.0,Cc1ccc(S(=O)(=O)N=c2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)[nH]n2C2CCCC2)cc1,7.4
3.8,c1ccc(N=c2cc(Nc3ccccc3)[nH][nH]2)cc1,7.4
3.21,COCCNC(=O)c1cccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)c1,7.4
0.36,CCC(CC)NC(=O)c1c[nH]n(C)c1=NS(=O)(=O)c1ccc(C)cc1,7.4
2.14,NC(=O)c1cc(F)cc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,7.4
1.71,N#Cc1c(-c2ccccc2)[nH]c(SCCc2ccccc2)nc1=O,7.4
1.19,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,7.4
2.7,Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1,7.4
2.77,Cc1ncc(-c2[nH]c(=Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C,7.4
3.8,COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1,7.4
2.87,O=C(COc1ccccc1)c1ccccc1,7.4
1.91,COc1cc2[nH]cc(C(N)=O)c(=Nc3ccc(F)cc3F)c2cc1NCCN(C)C,7.4
3.4,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(=N)N1,7.4
3.13,COc1cc2[nH]cnc(=Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1,7.4
3.0,O=C1CCOc2cc(COc3ccccc3)ccc21,7.4
2.33,Clc1cccc2c[nH]nc12,7.4
2.8,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,7.4
-0.54,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,7.4
3.16,C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4
2.91,C[C@H](NC(=O)c1cccnc1Oc1ccccc1)c1ccccc1,7.4
1.55,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,7.4
0.2,COc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c(OC)n1,7.4
1.43,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,7.4
2.47,CC(N=c1nc(N=c2cc(C3CC3)[nH][nH]2)c(F)c[nH]1)c1ncc(F)cn1,7.4
2.48,CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2CCCO,7.4
-0.45,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,7.4
