smiles,logD,pH
CC(C)CC1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)C3=CC4c5cccc6[nH]c(Br)c(c56)C[C@@H]4N(C)C3)(C(C)C)C(=O)N12,4.2,7.4
Brc1c(NC2=NCCN2)ccc2nccnc12,0.31,7.4
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.51,7.4
FC(F)(F)c1cc(Br)cc(Br)c1NC1=NCCN1,2.8,7.4
Clc1cc(Br)cc(Cl)c1NC1=NCCN1,2.31,7.4
Cc1cc(C(=O)O)nn1Cc1cc(Br)ccc1OCc1ccccc1,1.15,7.4
COc1cc2c(=Nc3ccc(Br)cc3F)[nH]cnc2cc1OCC1CCN(C)CC1,2.6,7.4
O=C(Nc1ccccc1Br)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,2.28,7.4
Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,1.68,7.4
O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,2.17,7.4
O=C1C=NC(c2ccccn2)c2cc(Br)ccc2N1,1.65,7.4
O=C(Cc1c[nH]c2ccc(Br)cc12)N1CCN(c2ccc([N+](=O)[O-])c3nonc23)CC1,3.0,7.4
Brc1cnc2ccccc2c1,2.91,7.4
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccc(Br)cc3)c2s1,3.36,7.4
Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br,1.64,7.4
O=C(Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl)Nc1ccccc1Br,2.34,7.4
COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br,1.76,7.4
Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,3.48,7.4
