logP,smiles,Temperature,pH
-0.89,O=c1[nH]cc(F)c(=O)[nH]1,22.0,4.0
-0.89,O=c1[nH]cc(F)c(=O)[nH]1,25.0,4.0
-0.89,O=c1[nH]cc(F)c(=O)[nH]1,37.0,4.0
-0.26,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,25.0,7.4
-0.26,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,35.0,7.2
-1.26,O=C(O)C(=O)CC(O)O,20.0,1.42
-1.26,O=C(O)C(=O)CC(O)O,25.0,1.42
-3.41,NC(=O)CC(N)C(=O)O,25.0,7.0
-1.11,O=c1[nH]cnc2[nH]cnc12,23.0,5.7
1.5,O=C(O)c1ccsc1,25.0,2.7976
0.49,CNS(=O)(=O)c1n[nH]c(=NC(C)=O)s1,35.0,7.2
0.13,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,22.0,7.4
0.13,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,25.0,7.4
-2.5,O=C(O)C1CCCN1,25.0,6.3
-2.11,CCCC(N)C(=O)O,20.0,5.98
0.3,N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl,10.0,2.8
0.3,N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl,20.0,2.8
0.3,N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl,30.0,2.8
0.3,N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl,40.0,2.8
1.37,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,15.0,3.32
-0.68,COC(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
-0.2,CNC(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
0.54,O=[PH](=O)(O)c1ccccc1,15.0,0.8991
-0.62,Nc1ccc(S(N)(=O)=O)cc1,37.0,6.9
-0.35,CCc1c(O)[nH]c(=O)[nH]c1=O,25.0,2.31
-0.02,Cc1ncc([N+](=O)[O-])n1CCO,25.0,3.16
-0.02,Cc1ncc([N+](=O)[O-])n1CCO,25.0,2.69
-0.06,N=c1[nH]c(=N)[nH]c(=NC2CC2)[nH]1,20.0,7.0
-0.06,N=c1[nH]c(=N)[nH]c(=NC2CC2)[nH]1,25.0,7.0
2.72,CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,25.0,4.44
3.36,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,37.0,12.46
3.36,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,37.0,11.94
3.36,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,37.0,11.42
3.36,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,37.0,11.02
3.36,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,37.0,9.45
3.36,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,37.0,7.34
