smiles,logP,pH,Temperature
CC(C)C(NC(=O)CN)C(=O)O,-1.33,7.0,25.0
CC(N)C(=O)NC(C)C(=O)O,-2.0,7.0,25.0
CCC(C)C(NC(=O)C(C)N)C(=O)O,-2.6,7.0,25.0
CC(C)C(NC(=O)[C@H](C)N)C(=O)O,-1.13,7.0,25.0
CC(C)CC(NC(=O)CN)C(=O)O,-0.78,7.0,25.0
CC(NC(=O)C(N)C(C)C)C(=O)O,-1.14,7.0,25.0
CC(C)C(NC(=O)C(N)CO)C(=O)O,-1.53,7.0,25.0
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-2.82,7.0,25.0
CC(C)CC(NC(=O)C(N)CO)C(=O)O,-2.49,7.0,25.0
CC(C)CC(NC(=O)C1CCCN1)C(=O)O,-2.41,7.0,25.0
CCC(C)C(NC(=O)C1CCCN1)C(=O)O,-2.56,7.0,25.0
CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)[O-],-1.76,7.0,25.0
CCC(C)C(N)C(=O)N1CCCC1C(=O)[O-],-1.79,7.0,25.0
NCC(=O)NC(Cc1ccccc1)C(=O)[O-],-0.56,7.0,25.0
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-0.32,7.0,25.0
CC(C)CC(N)C(=O)O.CC(N)C(=O)O,-0.54,7.0,25.0
NC(Cc1ccccc1)C(=O)NCC(=O)O,-0.5,7.0,25.0
CC(=O)C(N)C(O)NC(C(=O)O)C(C)C,-1.25,7.0,25.0
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O,-1.46,7.0,25.0
CC(C)CC(N)C(=O)NC(C(=O)O)C(C)C,-2.05,7.0,25.0
CC(C)CC(NC(=O)C(N)C(C)C)C(=O)O,-2.07,7.0,25.0
CCC(C)C(N)C(=O)NC(C(=O)O)C(C)CC,-1.82,7.0,25.0
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)O,-1.64,7.0,25.0
CSCCC(N)C(=O)NC(C(=O)O)C(C)C,-2.53,7.0,25.0
