smiles,logP,pH,Temperature
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(=N)N)c2)n1,1.5,,
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(CN)c2)n1,1.7,,
COc1ccc(-n2nc(C)cc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)cc1,2.9,,
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2ccc(C(N)=O)cc2)n1,2.1,,
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2ccc3o[nH]c(=N)c3c2)n1,2.3,,
Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2ccc3cc[nH]c(=N)c3c2)n1,2.6,,
Cc1cn(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)Oc3ccc(CC(N)C(=O)O)cc3)O2)c(=O)[nH]c1=O,0.25,7.2,
Cc1cn(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)Oc3ccc(CC(N)CO)cc3)O2)c(=O)[nH]c1=O,0.64,7.2,
Cc1cn(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)Oc3ccc(CC(N)C(N)=O)cc3)O2)c(=O)[nH]c1=O,1.27,7.2,
CC(=O)NC(Cc1ccc(OP(=O)(OCCSC(=O)C(C)(C)C)OCC2OC(n3cc(C)c(=O)[nH]c3=O)CC2N=[N+]=[N-])cc1)C(N)=O,1.52,7.2,
CCCCCCCC[N+](C)(C)CCS(=O)(=O)[O-],0.29,,
CCCCCCCCCCCC[N+](C)(C)CCS(=O)(=O)[O-],1.79,,
CCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],-1.22,,
CCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],-1.97,,
CCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],-0.47,,
CCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.57,,
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],1.65,,
C[N+](C)(CCCS(=O)(=O)[O-])Cc1ccccc1,-2.27,,
C[N+](C)(CCCS(=O)(=O)[O-])CCc1ccccc1,-1.87,,
C[N+](C)(CCCc1ccccc1)CCCS(=O)(=O)[O-],-1.57,,
C[N+](C)(CCCCc1ccccc1)CCCS(=O)(=O)[O-],-1.17,,
CCCCc1ccc(CCC[N+](C)(C)CCCS(=O)(=O)[O-])cc1,0.55,,
CCCCCCc1ccc(CCC[N+](C)(C)CCCS(=O)(=O)[O-])cc1,1.89,,
CCCCCC[N+](C)(C)CCCCS(=O)(=O)[O-],-1.08,,
CCCCCCC[N+](C)(C)CCCCS(=O)(=O)[O-],-1.23,,
CCCCCCCC[N+](C)(C)CCCCS(=O)(=O)[O-],-0.36,,
C[N+](C)(CCCCS(=O)(=O)[O-])Cc1ccccc1,-2.32,,
C[N+](C)(CCCCS(=O)(=O)[O-])CCc1ccccc1,-2.06,,
C[N+](C)(CCCCS(=O)(=O)[O-])CCCc1ccccc1,-1.7,,
C[N+](C)(CCCCc1ccccc1)CCCCS(=O)(=O)[O-],-1.41,,
CCCCc1ccc(CCC[N+](C)(C)CCCCS(=O)(=O)[O-])cc1,0.3,,
CCCCCCc1ccc(CCC[N+](C)(C)CCCCS(=O)(=O)[O-])cc1,1.64,,
CCN(CC)Cc1cc(N=c2cc[nH]c3cc(Cl)ccc23)ccc1O,3.01,7.4,
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccccc1,0.96,7.4,
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(O)cc1,1.14,7.4,
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(F)cc1,0.7,7.4,
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(OC(C)=O)cc1,1.67,7.4,
