smiles,logP,pH,Temperature
CC(C)C(NC(=O)CN)C(=O)O,-1.33,,25.0
CC(N)C(=O)NC(C)C(=O)O,-2.0,,25.0
CC(C)C(NC(=O)CN)C(=O)O,-1.33,7.0,25.0
CC(N)C(=O)NC(C)C(=O)O,-2.0,7.0,25.0
CC(=O)Oc1ccccc1C(=O)O,1.1,,37.0
Cc1cc(=O)n(-c2ccccc2)n1C,0.56,,25.0
CC(C)C(NC(=O)[C@H](C)N)C(=O)O,-1.13,,25.0
CC(C)CC(NC(=O)CN)C(=O)O,-0.78,,25.0
CC(NC(=O)C(N)C(C)C)C(=O)O,-1.14,,25.0
CC(C)C(NC(=O)C(N)CO)C(=O)O,-1.53,,25.0
CCC(C)C(NC(=O)C(C)N)C(=O)O,-2.6,7.0,25.0
CC(C)C(NC(=O)[C@H](C)N)C(=O)O,-1.13,7.0,25.0
CC(C)CC(NC(=O)CN)C(=O)O,-0.78,7.0,25.0
CC(NC(=O)C(N)C(C)C)C(=O)O,-1.14,7.0,25.0
CC(C)C(NC(=O)C(N)CO)C(=O)O,-1.53,7.0,25.0
N=c1[nH]c(=O)c2ncn(COCCO)c2[nH]1,-1.8,,37.0
N=C(N)NC(=O)c1nc(Cl)c(=N)[nH]c1N,0.1,,25.0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,4.0,,25.0
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,-0.09,,25.0
NCC(=O)NC(Cc1ccccc1)C(=O)[O-],-0.56,,25.0
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-0.32,,25.0
CC(C)CC(N)C(=O)O.CC(N)C(=O)O,-0.54,,25.0
NC(Cc1ccccc1)C(=O)NCC(=O)O,-0.5,,25.0
CC(=O)C(N)C(O)NC(C(=O)O)C(C)C,-1.25,,25.0
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-2.82,7.0,25.0
CC(C)CC(NC(=O)C(N)CO)C(=O)O,-2.49,7.0,25.0
CC(C)CC(NC(=O)C1CCCN1)C(=O)O,-2.41,7.0,25.0
CCC(C)C(NC(=O)C1CCCN1)C(=O)O,-2.56,7.0,25.0
CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)[O-],-1.76,7.0,25.0
CCC(C)C(N)C(=O)N1CCCC1C(=O)[O-],-1.79,7.0,25.0
NCC(=O)NC(Cc1ccccc1)C(=O)[O-],-0.56,7.0,25.0
CC(C)C(N)C(=O)NC(C(=O)O)C(C)C,-0.32,7.0,25.0
CC(C)CC(N)C(=O)O.CC(N)C(=O)O,-0.54,7.0,25.0
NC(Cc1ccccc1)C(=O)NCC(=O)O,-0.5,7.0,25.0
CC(=O)C(N)C(O)NC(C(=O)O)C(C)C,-1.25,7.0,25.0
COC1=NC(C)=NC(Cl)C1N=c1[nH]cc[nH]1,0.9,,25.0
CC(C)NCC(O)COc1cccc2ccccc12,3.4,,37.0
NC(=O)N1c2ccccc2C=Cc2ccccc21,2.45,,25.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.37,,25.0
COc1ccc2cc(C(C)C(=O)O)ccc2c1,3.58,,25.0
CC(C)NCC(O)COc1cccc2ccccc12,3.43,,25.0
CC(C)CC(N)C(=O)NC(C(=O)O)C(C)C,0.26,,25.0
CCC(C)C(N)C(=O)NC(C(=O)O)C(C)C,0.16,,25.0
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)O,0.68,,25.0
NC(C=O)C(O)NC(Cc1ccccc1)C(=O)O,-0.79,,25.0
CCC(C)C(NC(=O)C(N)C(C)O)C(=O)O,-0.86,,25.0
CC(C)C(NC(=O)C(N)CCC(N)=O)C(=O)O,-1.85,,25.0
CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)O,-1.32,,25.0
CC(C)C(N)C(=O)NC(CCC(N)=O)C(=O)O,-1.82,,25.0
CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)O,-1.41,,25.0
CC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,-1.85,,25.0
CCC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,-1.43,,25.0
CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)O,-1.3,,25.0
CC(C)C(N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,-1.4,,25.0
CC(C)C(NC(=O)[C@H](C)NC(=O)CN)C(=O)O,-1.56,,25.0
CC(C)CC(NC(=O)CN)C(=O)NCC(=O)O,-1.23,,25.0
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O,-1.46,7.0,25.0
CC(C)CC(N)C(=O)NC(C(=O)O)C(C)C,-2.05,7.0,25.0
CC(C)CC(NC(=O)C(N)C(C)C)C(=O)O,-2.07,7.0,25.0
CCC(C)C(N)C(=O)NC(C(=O)O)C(C)CC,-1.82,7.0,25.0
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)O,-1.64,7.0,25.0
CSCCC(N)C(=O)NC(C(=O)O)C(C)C,-2.53,7.0,25.0
CC(=O)C(NC(=O)C(N)Cc1c[nH]cn1)C(O)O,-2.23,7.0,25.0
CC(C)CC(N)C(=O)NC(C(=O)O)C(C)C,0.26,7.0,25.0
CCC(C)C(N)C(=O)NC(C(=O)O)C(C)C,0.16,7.0,25.0
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)O,0.68,7.0,25.0
CSCCC(N)C(=O)NC(C(=O)O)C(C)C,-0.28,7.0,25.0
NC(C=O)C(O)NC(Cc1ccccc1)C(=O)O,-0.79,7.0,25.0
CCC(C)C(NC(=O)C(N)C(C)O)C(=O)O,-0.86,7.0,25.0
CC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,-1.85,7.0,25.0
CCC(C)C(NC(=O)C(N)CC(N)=O)C(=O)O,-1.43,7.0,25.0
CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)O,-1.3,7.0,25.0
CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)O,-1.41,7.0,25.0
CC(C)C(NC(=O)CCC(N)C(=O)O)C(=O)O,-1.85,7.0,25.0
CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)O,-1.32,7.0,25.0
CC(C)C(N)C(=O)NC(CCC(N)=O)C(=O)O,-1.82,7.0,25.0
CC(C)CC(NC(=O)C(N)CCCCN)C(=O)O,-0.26,13.0,25.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.5,,37.0
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,-0.5,,37.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.18,,25.0
CNCCCN1c2ccccc2CCc2ccccc21,4.54,,25.0
COCCc1ccc(OCC(O)CNC(C)C)cc1,2.07,,25.0
CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)O,0.43,,25.0
CC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-0.2,,25.0
NC(=O)CC(N)C(=O)NC(Cc1ccccc1)C(=O)O,-1.14,,25.0
CC(NC(=O)C(N)C(C)C)C(=O)NC(C(=O)O)C(C)C,-0.67,,25.0
CCC(C)C(NC(=O)C(N)C(C)C)C(=O)NCC(=O)O,-0.45,,25.0
CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,-1.17,7.0,25.0
CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)O,-1.15,7.0,25.0
CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,-1.98,7.0,25.0
CC(C)C([NH3+])C(=O)NC(Cc1ccc(O)cc1)C(=O)[O-],-2.52,7.0,25.0
CSCCC(NC(=O)C(N)CC(C)C)C(=O)O,-1.87,7.0,25.0
CSCCC(N)C(=O)NC(CC(C)C)C(=O)O,-1.84,7.0,25.0
O=C(O)C(Cc1ccccc1)NC(=O)C1CCCN1,-2.07,7.0,25.0
NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)O,-1.36,7.0,25.0
CC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)O,0.43,7.0,25.0
CC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-0.2,7.0,25.0
NC(=O)CC(N)C(=O)NC(Cc1ccccc1)C(=O)O,-1.14,7.0,25.0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.2,,37.0
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.5,,37.0
Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,3.0,,37.0
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,6.0,,37.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.17,,25.0
CC(C)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,0.73,,25.0
CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,0.32,,25.0
NC(=O)CCC(N)C(=O)NC(Cc1ccccc1)C(=O)O,-1.14,,25.0
NC(=O)CCC(NC(=O)C(N)Cc1ccccc1)C(=O)O,-1.03,,25.0
CC(C)CC(NC(=O)C(C)N)C(=O)NC(C(=O)O)C(C)C,-0.14,,25.0
CCC(C)C(NC(=O)C(NC(=O)C(C)N)C(C)C)C(=O)O,-0.2,,25.0
CC(N)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,-0.71,,25.0
CCC(C)C(N)C(=O)NC(C)C(=O)NC(C(=O)O)C(C)C,-0.21,,25.0
NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,-0.85,7.0,25.0
CC(C)CC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,-0.73,7.0,25.0
CC(C)CC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-1.94,7.0,25.0
CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,-1.75,7.0,25.0
CSCCC(NC(=O)C(N)Cc1ccccc1)C(=O)O,-1.59,7.0,25.0
CC(C)C(NC(=O)C([NH3+])Cc1ccccc1)C(=O)NCC(=O)[O-],-2.33,7.0,25.0
CC(C)CC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-2.1,7.0,25.0
CC(C)CC(N)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)O,-2.03,7.0,25.0
[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)[O-],-2.72,7.0,25.0
CC(C)C(NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)O,-1.96,7.0,25.0
CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,0.32,7.0,25.0
CC(C)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,0.73,7.0,25.0
CSCCC(N)C(=O)NC(Cc1ccccc1)C(=O)O,0.42,7.0,25.0
