logP,Temperature,smiles
0.35,25.0,C=O
1.83,25.0,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
2.19,,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C
2.1,25.0,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C
1.47,,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
-0.4,,COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12
1.15,25.0,CCC1(CC)C(=O)NC(=O)N(C)C1=O
1.69,,CCC1(c2ccccc2)NC(=O)N(C)C1=O
0.63,,O=P1(N(CCCl)CCCl)NCCCO1
-0.72,25.0,CC(=O)C(O)O
1.94,25.0,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12
1.61,25.0,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
1.62,25.0,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
2.45,,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
4.01,,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
6.91,,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
2.23,,O=C(O)c1c(Cl)cccc1Cl
6.13,,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
3.16,25.0,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O
0.33,,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
2.3,25.0,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
4.9,,CNCCCN1c2ccccc2CCc2ccccc21
4.92,,CN(C)CCC=C1c2ccccc2CCc2ccccc21
4.8,,CN(C)CCCN1c2ccccc2CCc2ccccc21
5.9,,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
5.41,25.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
-2.32,,OCC1OC(O)C(O)C1O
-2.2,,OCC(O)C(O)C(O)C(O)CO
-1.84,,O=C1NC(=O)C(=O)C(=O)N1
1.19,25.0,CC(=O)Oc1ccccc1C(=O)O
2.82,,O=C(O)c1cc(Cl)ccc1Cl
-1.85,,OCC(O)c1oc(O)c(O)c1O
2.99,,Cc1ccc(C(=O)O)c(O)c1
1.62,,CC(=O)Nc1ccc(C(=O)O)c(O)c1
-0.93,,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
-1.16,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
-3.24,,OCC1OC(O)C(O)C(O)C1O
4.75,,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
0.88,,CCN(CC)CCNC(=O)c1ccc(N)cc1
0.87,25.0,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
-0.21,,O=c1[nH]cc(Br)c(=O)[nH]1
-0.89,,O=c1[nH]cc(F)c(=O)[nH]1
1.67,,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
0.98,,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
-3.17,,O=C(O)C1CC(O)CN1
3.0,,O=C(O)c1cc(Cl)cc(Cl)c1
-1.24,,NCC(O)c1ccc(O)c(O)c1
-1.37,,CNCC(O)c1ccc(O)c(O)c1
3.25,,O=C(O)c1ccc(Cl)c(Cl)c1
-0.7,,NCCc1c[nH]cn1
1.83,25.0,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
-0.98,,NCCc1ccc(O)c(O)c1
1.76,,CC(N)Cc1ccccc1
1.03,25.0,COc1ccc(NC(C)=O)cc1
0.91,,CN(CCCl)CCCl
-0.15,,CCOC(N)=O
2.78,,CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
2.4,,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C
0.53,,S=P(N1CC1)(N1CC1)N1CC1
1.77,,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
1.08,,CC12CCC(=O)C=C1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13
1.15,,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
0.91,,O=C1NC(=O)C2(CCCCC2)C(=O)N1
1.78,,O=C1NC(=S)NC(=O)C12CCCCC2
-2.28,,NC1(C(=O)O)CCCC1
3.79,,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
-1.78,,CC(C)(S)C(N)C(=O)O
0.51,,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
2.23,,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
4.3,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
-2.49,,NC(CS)C(=O)O
1.46,,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
1.47,25.0,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
3.13,,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
3.69,,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
3.23,,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
6.75,,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12
0.03,,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1
