smiles,logP
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.83
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,2.19
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,2.1
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.47
COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12,-0.4
CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15
CCC1(c2ccccc2)NC(=O)N(C)C1=O,1.69
O=P1(N(CCCl)CCCl)NCCCO1,0.63
CC(=O)C(O)O,-0.72
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.94
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.62
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.45
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4.01
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,6.91
O=C(O)c1c(Cl)cccc1Cl,2.23
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,6.13
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,3.16
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0.33
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.3
CNCCCN1c2ccccc2CCc2ccccc21,4.9
CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.92
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.8
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5.9
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.41
OCC1OC(O)C(O)C1O,-2.32
OCC(O)C(O)C(O)C(O)CO,-2.2
O=C1NC(=O)C(=O)C(=O)N1,-1.84
CC(=O)Oc1ccccc1C(=O)O,1.19
O=C(O)c1cc(Cl)ccc1Cl,2.82
OCC(O)c1oc(O)c(O)c1O,-1.85
Cc1ccc(C(=O)O)c(O)c1,2.99
CC(=O)Nc1ccc(C(=O)O)c(O)c1,1.62
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-0.93
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.16
OCC1OC(O)C(O)C(O)C1O,-3.24
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,4.75
CCN(CC)CCNC(=O)c1ccc(N)cc1,0.88
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.87
