,smiles,logP,logD
0,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,0.57,-1.2
1,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCN(c3nccs3)CC2)CC1,,1.3
2,O=C(Nc1ccc(Cl)nc1)c1ccc(F)c(Cl)c1,,3.64
3,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Oc3cccc4ccccc34)sc21,,2.87
4,CCCSc1nc(N2CCCC(C(=O)O)C2)ccc1C(=O)NC1CCCCC1,,1.72
5,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,0.67
6,CC(C)c1nc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)[C@H](C)C2)no1,,3.3
7,CC(=O)N1CCN(CC(O)COc2ccc(Br)cc2)CC1,,1.6
8,COc1cc(-c2n[nH]c(=S)n2-c2cccc(C(F)(F)F)c2)cc(OC)c1OC,,2.27
9,Cc1nc(C)c(-c2ccc3c(c2)CC[C@]32CC[C@@H](CC(=O)O)CC2)nc1C(N)=O,,1.5
10,Cc1cccc(N=c2cc[nH]cc2S(=O)(=O)NC(=O)NC(C)C)c1,,0.3
11,c1ccc(C2OC3(CCNCC3)c3ccccc32)cc1,,0.75
12,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,,2.06
13,O=C(CO)N1CCC[C@H]1COc1cccc2[nH]cnc(=Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,,3.62
14,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=S)NCC(=O)O,,-1.04
15,Cc1nn(C2CCN(C)CC2)cc1-c1c[nH]c(=N)c(-c2nc3ccccc3o2)c1,,3.4
16,O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2,,1.58
17,CCn1c(=O)c2c(=O)cc(O)oc2c2ccccc21,,1.13
18,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,,0.79
19,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)[nH]nc2c1,,3.8
20,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N(C)C)c(Cc3ccccc3C(F)(F)F)sc21,,2.9
21,CCN1CCN(Cc2cnc(-c3ccc(C(=O)Nc4ccccc4N)cc3)c(C)c2)CC1,,1.2
22,Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccco4)CC3)c3ccccc23)cc1,,3.78
23,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,,0.99
24,CCn1[nH]c(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1=NS(=O)(=O)c1ccc(C)cc1,,0.95
25,Cn1cc(C#N)cc1-c1c2c(=O)n(CC#N)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,,3.33
26,Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,,4.49
27,CNC(C)C(=O)NC(C(=O)N(C)[C@H]1CCCN(CCc2ccccc2)C1)C1CCCCC1,,2.34
28,c1ccc(CNCCNCc2ccccc2)cc1,,0.73
29,CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1)C(F)(F)F,,3.12
30,CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1,,1.57
31,c1ccc(N2CC3COc4ccccc4C3=N2)cc1,,4.28
32,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC=O)c1=O)C(=O)C(F)(F)F,,1.84
33,COc1ccc2nc(C)cc(-n3cc(CNC(C)=O)nn3)c2c1,,1.6
34,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,-0.64,-0.6
35,N=C(N)N=c1[nH]c2ccccc2o1,,1.91
36,N=c1[nH][nH]c2ncc3c(c12)CCCCCC3,,2.54
37,COc1c(C#N)cc2ccccc2c1C(=O)N(C)C[C@@H](CCN1CCC(c2ccc(O)cc2[S+](C)[O-])CC1)c1ccc(Cl)c(Cl)c1,,3.5
38,N=c1[nH][nH]c2ccccc12,,1.0
39,CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12,,2.41
40,COCCNCc1cncc(-c2ccc(F)cc2OC)n1,,1.61
41,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,3.78,1.13
42,N=c1[nH]nc(Cc2ccc(Cl)cc2)s1,,2.34
43,O=C1C=CC(=O)c2c(O)ccc(O)c21,1.79,1.91
44,Cc1oc(-c2ccc(Cl)cc2)cc1C(=O)O,,1.67
45,c1ccc(C2CCNCC2)cc1,2.39,0.54
46,NC1(c2ccc(-c3nn4ccccc4c3-c3ccccc3)cc2)CCC1,,3.2
47,Cc1sc2ncnc(N3CCN(c4ncccn4)CC3)c2c1C,,3.66
48,CN=c1cccc(CCCc2ccc(CC(NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)[nH]1,,0.57
49,C[C@H](CO)N=c1[nH]c(SCc2ccco2)nc2[nH]c(=O)sc12,,2.21
50,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]nc2C(F)(F)F)CC1,,3.02
51,Cc1cc(COC(=O)Nc2ccc(-c3ccccc3)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c2=O)cc(C)n1,,2.38
52,N#Cc1cccc(-c2cccc(-c3nn[nH]n3)c2)c1,,0.7
53,C[C@@](O)(C(=O)Nc1ccc(C(=O)N2CCCCC2)cc1Cl)C(F)(F)F,,2.62
54,CC(=O)Nc1ccc2cnn(-c3cc(=NC4CC4)n4[nH]cc(C#N)c4n3)c2c1,,3.44
55,COc1ccc(OC)c(CN=c2[nH][nH]c3ccnc(Oc4ccccc4)c23)c1,,4.25
