,Unnamed: 0,smiles,logP,logD
0,3559,CCCCCCOCCO,1.86,
1,8305,Cc1c(NC(=O)CC(c2ccccc2)c2ccccc2)cccc1-n1cnnn1,3.2,
2,3096,CCCC(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)C1O,0.87,
3,6023,CN1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1,-0.1,
4,8626,Cc1ccc(C)n1-c1ccc(-c2ccnc3ncnn23)cc1,3.5,
5,5823,CN(C)c1cccc(C(N)=O)c1,0.95,
6,4907,CCOC(CCC#N)OCC,0.75,
7,259,C=C(C)C1CCC2(C)OC2C1,3.2,
8,17156,O=C(NS(=O)(=O)c1cccc(Cl)c1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,2.62
9,14491,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,,1.2
10,2472,CC1CC2OC(=O)C3(C)C2C(OC3(C)O)C2(C)C(=O)C=CC12,0.3,
11,1340,CC(C)(C)C#N,1.08,
12,7030,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,1.83,
13,1683,CC(C)CC(N)C(=O)N=C(CCCNC(N)N)C(=O)NC(Cc1ccccc1)C(=O)O,-0.06,
14,2882,CCC(C)c1cccc(C(C)CC)c1O,4.36,
15,3716,CCCCN=c1[nH]c(SC(F)F)nc(=NC(C)C)[nH]1,4.75,
16,15892,Cc1c(C)c(O)c(C(=CCCCCC(=O)O)c2ccccc2)c(C)c1O,,2.48
17,7328,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(=O)C(F)(F)F)CC2,1.72,
18,10536,NC(=O)OCCc1ccccc1,1.5,
19,2280,CC1(O)CC23C(O)C1CCC2(O)C(C)(O)C1C2OC2C(C)(C)C1(O)C(O)C3O,-0.57,
20,4655,CCOC(=O)C(F)(F)F,1.18,
21,9243,Cc1no[n+]([O-])c1S(=O)c1ccccc1,1.75,
22,712,CC(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(C)(C)C,-0.39,
23,7839,COc1ccccc1C(=O)N(C)C,0.71,
24,15829,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1Cl,,1.1
25,14210,CC1(C)Oc2[nH]cnc(=N)c2N=C1c1ccc(C2CCC(CC(=O)O)CC2)cc1,,1.32
26,3267,CCCCCC(=O)NC1(CCC)CCCC1,4.28,
27,12981,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)n1Cc1ccccc1,0.33,
28,15041,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,,2.09
29,4396,CCN1C(=O)C(=O)c2c(cccc2[N+](=O)[O-])C1=O,0.82,
30,5155,CCOc1ccccc1,2.51,
31,10429,NC(=O)C1CSC(c2oc(CO)c(O)c2O)N1,-1.73,
32,4125,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2cnccn2c1C(=O)c1ccc(C)cc1,3.93,
33,1627,CC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(=O)O)C(C)C,-2.83,
34,17568,O=c1cc(OCc2ccccc2)cc[nH]1,,1.69
35,15840,C[C@H]1NC(C)(C)CO[C@]1(O)c1cccc(Cl)c1,,1.69
36,235,C=C(C)C(=O)OC1Cc2cc(oc2O)CC2(C)OC2C2OC(=O)C(=C)C12,0.69,
37,15633,COc1ccccc1Oc1ccc(N(Cc2cccnc2)S(=O)(=O)CC(F)(F)F)cc1,,1.5
38,12612,O=[N+]([O-])c1cc2ccccc2nn1,0.73,
39,13892,CC(=O)Nc1ccc2c(c1)N(c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)CC2,,3.3
40,9800,Cn1c2ccccc2n2c3nc(C#N)c(C#N)nc3c(C#N)c12,3.61,
41,5405,CCc1cnc(C=Cc2ccc([N+](=O)[O-])o2)nc1,1.55,
42,17530,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)ccc12,,1.88
43,923,CC(=O)Nc1ccc(Cl)cc1[N+](=O)[O-],1.78,
44,10012,N#CCC(=N)C(C#N)C#N,-0.13,
45,17666,c1ccc(N=c2cc[nH]c(=Nc3ccccc3)[nH]2)cc1,,4.06
46,6576,COC(=O)Cc1cccs1,1.51,
47,13937,CC(C)(C)C(=O)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2,,2.83
48,9302,ClC1=C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.35,
49,7520,COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1Nc1ccccc1,2.88,
50,2816,CCC(C)C(NC(=O)c1cn(CC)c2nc(C)ccc2c1=O)C(=O)OC,3.15,
51,6351,CNCC(F)(F)F,0.55,
52,1567,CC(C)=CC1C(C(=O)OCc2ccccc2)C1(C)C,5.49,
53,10249,N=c1[nH]c(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,-1.89,
54,2747,CCC(C)C(=O)O,1.18,
55,7290,COc1cc(OC)cc(C2C(=O)c3ccccc3C2=O)c1,2.86,
56,629,CC(=O)N(C)N=Nc1ccc(C(N)=O)cc1,1.37,
