,smiles,logP,logD
0,COc1ncc[nH]c1=NS(=O)(=O)c1ccc(N)cc1,0.7,-0.65
1,CCC(C)C(NC(C)=O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(N)=O,-0.04,
2,CC(C)(C)NSc1nc2ccccc2s1,4.67,
3,CC(C)c1ccc(NC(=O)N(C)C)cc1,2.87,
4,CCOc1cccnc1,1.44,
5,C#CCCCC,2.73,
6,CCN(CC)c1cccc(S(=O)(=O)O[Na])c1,-1.6,
7,CC(=O)c1cccc(F)c1,1.77,
8,O=C(O)c1cc(Cl)ccc1O,3.09,
9,Nc1cc([N+](=O)[O-])ccc1C(=O)O,1.91,
10,CCC(C)(C)C(=O)O,1.9,
11,CCCCCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,2.61,
12,CN(C)C(=O)OCc1ccc(OCc2ccccc2)cc1,3.27,
13,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.05,1.92
14,COc1ccc(S(=O)(=O)c2ccc(N)cc2)c(OC)c1,1.64,
15,CC(=O)c1c(C)[nH]c(C(=O)COC(=O)c2ccccc2NC(=O)c2ccco2)c1C,4.73,
16,COc1ccc(NC(N)=O)cc1Cl,1.37,
17,CC(=O)CCCc1ccccc1,2.42,
18,c1ccnnc1,-0.72,
19,CCOc1ccc2nccnc2c1,2.22,
20,O=Cc1c[nH]c2ccccc12,1.68,
21,CNC(=O)Oc1cccc(I)c1,2.52,
22,CCCOC(=O)c1ccc(C(=O)OCCC)nc1,3.57,
23,NS(=O)(=O)c1ccccc1,0.31,
24,CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC21CCC(=O)O1,2.68,
25,CCCCC(C)O,1.76,
26,O=C(O)COc1ccc(Cl)cc1Cl,2.81,
27,CC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.91,
28,c1ccc2c(c1)Cc1ccccc1-2,4.18,
