,Unnamed: 0,smiles,logP,logD
0,6528,COC(=O)NC(=S)Nc1ccccc1N,0.7,
1,3917,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],4.1,
2,11884,O=C(OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O)c1ccc([N+](=O)[O-])cc1,1.24,
3,1850,CC(C)NCC(O)COCCCc1ccccc1,1.94,
4,7938,CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1,1.34,1.34
5,1187,CC(=O)c1cc[n+]([O-])cc1,-0.93,
6,17226,O=C(O)c1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,2.83
7,10177,N=c1[nH]c(=S)c2ncn(C3CCC(CO)O3)c2[nH]1,-0.59,
8,6866,COCCOCCOc1ccccc1OCCOCCOC,0.76,
9,11361,O=C(NCC(O)CO)c1c(I)c(N(CCO)C(=O)CO)c(I)c(N(CCO)C(=O)CO)c1I,-2.55,
10,13138,OCc1cccc(Cl)c1,1.94,
11,69,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,3.01,
12,13874,CC(C)(C)OC(=O)N1C[C@@H]2CC[C@H]1CN2c1ncc(OCc2ccc(S(C)(=O)=O)cc2)cn1,,3.4
13,5305,CCc1cccc(CC)c1O,3.03,
14,4003,CCCOC(=O)NC,0.95,
15,15581,CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccccc2)n1,,1.94
16,8759,Cc1ccc2cccnc2c1,2.47,
17,361,C=CCC1CN(C)CCC1(OC(=O)CC)c1ccccc1,2.97,
18,12239,O=Cc1cc(O)cc(Br)c1,2.5,
19,951,CC(=O)Nc1ccc2ncccc2c1,1.55,
20,9810,FC(F)(F)c1cccc2cccnc12,2.5,
21,14634,CCc1nc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cn2c1N(C)Cc1cccs1,,4.1
22,2173,CC1(C)C(C(=O)N2CCOCC2)CC[C@]1(C)C(=O)N1CCOCC1,2.46,
23,5518,CN(C)C(=O)OCc1ccc(C(N)=O)cc1,0.77,
24,10761,NNC(=O)c1ccnc(I)c1,0.52,
25,1809,CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,3.0,
26,2563,CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,1.28,
27,1837,CC(C)NC(=O)COC(=O)c1ccccc1,1.73,
28,11078,Nc1cccc(O)c1,0.21,
29,11676,O=C(O)COc1cccc(S(F)(F)(F)(F)F)c1,2.78,
30,10750,NNC(=O)c1ccccc1Br,0.26,
31,11339,O=C(NC(CO)C(O)c1ccc(Cl)cc1)C(Cl)Cl,1.64,
32,6673,COC(=O)c1ccccc1[N+](=O)[O-],1.66,
33,1628,CC(C)C(NC(=O)C(N)CCC(N)=O)C(=O)O,-1.85,
34,2470,CC1CCC2C(C)COC3OC4(C)CCC1C32OO4,3.16,
35,15217,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)C32)OCO4)cc(OC)c1O,,0.91
36,17194,O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,,-0.22
37,8412,Cc1cc(NC(N)=O)ccc1Br,2.49,
38,11789,O=C(O)c1cc2ccccc2cc1O,3.05,
