,smiles,logP
0,N=c1[nH]cnc2c1ncn2C1OC(CO)CC1O,-0.61
1,Cc1nc(=N)c(CNC(=O)N(CCCl)N=O)c[nH]1,0.39
2,C=CCOc1cc(N)ccc1C(=O)O,1.25
3,Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,7.4
4,COC(=O)Nc1ccc(C#N)cc1,1.82
5,NC(=S)c1ncccn1,-0.34
6,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n1cncn1,3.8
7,CCC(C)NC(=O)C(=Cc1ccccc1)OC,2.86
8,CCOC(=O)c1c[nH]c(-c2ccc(OCC(O)CNCCc3ccc(OC)c(OC)c3)cc2)n1,2.3
9,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(C#N)c1,2.34
10,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,5.17
11,O=C(/C=C/c1cccs1)Nc1ccc(I)cc1,4.67
12,CCCCc1n[nH]c(=N)o1,0.65
13,CCOC(=O)C(C)n1nnc2ccccc21,1.87
14,CNC(=O)Oc1cc(C)cc(C)c1,2.23
15,COc1ccc2c(c1)OCC1(O)c3cc4c(cc3OC21)OCO4,2.58
16,O=C(O)CSC1=NS(=O)(=O)c2ccc(C(F)(F)F)cc2N1,1.62
17,Cc1cc2n(c1C(=O)c1ccc(Cl)cc1)CCC2C(=O)O,3.6
18,CCCn1nc2ccccc2n1,2.53
19,COC(=O)Cn1ccnc1[N+](=O)[O-],-0.09
20,NC(=O)c1ncccc1O,0.65
21,CC(=O)NNC(=O)Nc1ccc(O)cc1,-0.79
22,NC(=O)C(Cl)(Cl)Cl,1.04
23,CCC1(c2ccncc2)CCC(=O)NC1=O,0.58
24,Cc1ccc([N+](=O)[O-])c(O)c1,2.31
25,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,3.38
26,CN(C)C(=O)OCc1cccc(N)c1,1.06
27,CC(C)Oc1cn[nH]c1,1.13
28,CCOCCN(CCOCC)N=O,0.79
29,CCOC(=O)c1cccs1,2.33
30,CC1(C)N=C(N)N=C(N)N1c1ccc(N)cc1,-0.59
31,CCOC(=O)C(=Cc1cccc(C)c1)C(=O)OCC,3.55
32,O=NN1CCCCC1=O,-1.05
33,COc1ccc2cc(CC(=O)OCC(=O)N3CCOCC3)ccc2c1,2.13
34,CC(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1,0.9
35,ClC=C1C2CC(C(Cl)C2(Cl)Cl)C1(C(Cl)Cl)C(Cl)Cl,5.49
36,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,4.64
37,CCNC(O)=NO,-0.76
38,CCc1ccccc1C(N)=O,1.17
39,CC#CCOC(C)c1ccc(OC)c(OC)c1,2.4
40,CC(C)N(C)N=Nc1ccc(C(N)=O)cc1,2.02
41,Cc1cc2occc2c2oc(=O)ccc12,2.41
42,Oc1ccc(N=C=S)cc1,2.74
43,CC(=O)c1ccc([N+](=O)[O-])cc1,1.53
44,CCOC(=O)Cn1c(O)c(OC(=O)c2ccccc2)c(OC(=O)c2ccccc2)c1O,5.0
45,O=C1C(=O)N(OCc2ccc(Br)cc2)[C@H]2CCCC[C@@H]2N1OCc1ccc(Br)cc1,5.49
46,Cn1cnc([N+](=O)[O-])c1S(N)(=O)=O,-0.74
47,CC[N+](C)(C)[N-]C(=O)C(O)(c1ccc(F)cc1)c1ccc(F)cc1,1.52
48,CCOC(=O)CNC(=O)c1cn(CC)c2nc(C)ccc2c1=O,2.07
49,CCc1cnc(-c2ccc(C(C)C(=O)O)cc2F)s1,4.1
50,N#CN=[N+]([O-])c1cccc2ccccc12,3.17
51,OCCn1nnc2ccccc21,0.5
52,O=C(O)c1ccc2cccccc1-2,2.88
53,CSc1ccc(C(=O)O)cc1,2.74
54,CCOCCOC(=O)C(C)n1cnc2sc3c(c2c1=O)CC[C@H](C)C3,4.25
55,Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,0.11
56,CCCCCCCCCCCCn1cc(C(O)OC)cc1O,4.0
57,CC(=O)NCc1ccc(OCC(O)CNC(C)C)cc1,0.32
58,C(#Cc1cscn1)c1ccccc1,2.6
59,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,5.86
60,CC(=O)C=Cc1cccc(F)c1,2.25
