,custom_count,rdkit_count
0,7,21
1,9,18
2,12,16
3,12,25
4,10,20
5,10,24
6,7,16
7,10,23
8,13,23
9,1,16
10,6,23
11,8,20
12,9,23
13,18,23
14,5,23
15,6,14
16,10,20
17,12,25
18,5,14
19,7,26
20,5,19
21,13,17
22,10,19
23,12,25
24,18,23
25,16,21
26,5,13
27,13,22
28,7,17
29,12,26
30,2,16
31,5,12
32,7,20
33,3,14
34,10,24
35,4,13
36,11,21
37,9,19
38,11,24
39,6,24
40,14,19
41,13,23
42,16,20
43,8,13
44,9,16
45,9,21
46,15,20
47,10,15
48,7,16
49,5,18
50,6,18
51,4,17
52,4,14
53,4,12
54,10,23
55,12,18
56,12,24
57,6,23
58,7,16
59,8,23
60,7,19
61,5,15
62,10,15
63,3,12
64,7,16
65,10,21
66,6,16
67,7,11
68,10,15
69,8,13
70,7,25
71,10,23
72,15,21
73,6,23
74,11,25
75,13,22
76,8,17
77,15,25
78,10,24
79,13,21
80,11,26
81,9,30
82,14,23
83,14,35
84,13,27
85,15,33
86,8,30
87,13,25
88,12,29
89,16,30
90,13,27
91,18,35
92,13,29
93,11,29
94,18,28
95,13,30
96,16,29
97,12,27
98,11,29
99,16,39
100,17,31
101,8,27
102,11,35
103,20,43
104,11,25
105,19,34
106,14,33
107,12,37
108,6,27
109,17,36
110,15,37
111,11,35
112,11,31
113,17,30
114,8,31
115,12,29
116,12,31
117,16,29
118,17,27
119,19,33
120,8,30
121,17,27
122,13,29
123,21,44
124,12,26
125,11,21
126,11,32
127,9,27
128,8,21
129,15,23
130,16,33
131,5,22
132,15,25
133,6,36
134,7,23
135,18,44
136,11,25
137,17,32
138,7,30
139,13,36
140,10,27
141,6,15
142,14,33
143,14,34
144,11,26
145,11,24
146,6,18
147,2,14
148,9,27
149,11,37
150,13,35
151,10,29
152,17,35
153,13,31
154,18,32
155,21,30
156,10,26
157,13,32
158,9,17
159,12,34
160,16,39
161,7,27
162,6,15
163,13,18
164,9,28
165,13,39
166,11,35
167,11,24
168,9,19
169,23,37
170,8,25
171,7,24
172,7,20
173,8,23
174,9,31
175,18,32
176,11,24
177,9,31
178,13,26
179,8,17
180,13,31
181,6,19
182,15,32
183,18,28
184,16,29
185,13,34
186,1,16
187,19,34
188,9,22
189,10,24
190,12,26
191,10,22
192,4,26
193,11,31
194,15,29
195,7,20
196,17,30
197,20,38
198,12,25
199,10,20
200,14,32
201,10,36
202,12,31
203,10,32
204,18,32
205,14,32
206,15,34
207,13,28
208,7,25
209,13,37
210,8,17
211,11,30
212,12,36
213,16,31
214,11,30
215,11,36
216,12,30
217,7,16
218,8,26
219,20,40
220,13,33
221,15,29
222,11,29
223,19,29
224,12,39
225,17,35
226,15,30
227,12,28
228,17,37
229,11,36
230,16,29
231,23,37
232,13,27
233,19,37
234,10,24
235,13,31
236,14,32
237,15,24
238,7,16
239,9,20
240,18,42
241,10,18
242,13,31
243,13,25
244,13,30
245,5,22
246,16,26
247,10,18
248,11,26
249,8,25
250,15,20
251,17,36
252,11,20
253,15,29
254,19,39
255,11,26
256,12,26
257,13,27
258,11,23
259,16,30
260,11,25
261,11,33
262,17,38
263,12,28
264,11,37
265,15,38
266,19,34
267,12,31
268,13,23
269,17,27
270,7,29
271,7,17
272,17,30
273,13,27
274,7,26
275,19,42
276,11,21
277,8,12
278,7,29
279,14,22
280,23,41
281,11,30
282,14,26
283,16,33
284,14,23
285,19,40
286,9,23
287,13,25
288,19,23
289,11,26
290,14,30
291,6,24
292,12,39
293,13,18
294,13,34
295,5,14
296,8,22
297,12,30
298,14,22
