,smiles,logP,logD
0,BrC(Br)(Br)Br,3.42,
1,BrC1C2CC3C(C2)C13,3.11,
2,BrC1CC2CCC1C2,3.54,
3,BrC1CCCCC1,3.2,
4,BrC=C(Br)Br,3.2,
5,BrCC(CBr)(CBr)CBr,3.99,
6,BrCC1CO1,0.85,
7,BrCCCBr,2.37,
8,BrCCCCCCCCCCBr,6.12,
9,BrCCCc1ccccc1,3.72,
10,BrCCc1ccccc1,3.09,
11,BrCc1ccccc1,2.92,
12,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,6.07,
13,Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,6.39,
14,Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,5.5,
15,Brc1cc(Br)c(Br)cc1Br,5.13,
16,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.75,
17,Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,8.71,
18,Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,7.4,
19,Brc1cc(Br)cc(Br)c1,4.51,
20,Brc1cc2ccccc2nn1,1.72,
21,Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,6.1,
22,Brc1ccc(-c2cc3ccccn3c2)cc1,5.43,
23,Brc1ccc(-c2ccc(Br)cc2)cc1,5.72,
24,Brc1ccc(-c2ccccc2)cc1,4.96,
25,Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,7.1,
26,Brc1ccc(Br)cc1,3.79,
27,Brc1ccc(NC2=NCCN2)cc1,1.75,
28,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,6.84,
29,Brc1ccc2cccnc2c1,2.92,
30,Brc1ccc2ncccc2c1,2.83,
31,Brc1cccc(-c2c[nH]c(SCCc3c[nH]cn3)n2)c1,3.76,
32,Brc1cccc(-c2cc3ccccn3c2)c1,5.31,
33,Brc1cccc(-c2ccccc2)c1,4.85,
34,Brc1cccc(Br)c1,3.75,
35,Brc1cccc(Br)c1NC1=NCCN1,1.96,
36,Brc1cccc(NC2=NCCN2)c1Br,2.16,
37,Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,6.05,
38,Brc1ccccc1,2.99,
39,Brc1ccccc1-c1ccccc1,4.59,
40,Brc1ccccc1Br,3.64,
41,Brc1ccccn1,1.42,
42,Brc1cccnc1,1.6,
43,Brc1cccs1,2.75,
44,Brc1ccncc1,1.54,
45,Brc1ccoc1,2.18,
46,Brc1ccsc1,2.62,
47,Brc1ccsc1Br,3.53,
48,Brc1cnc2ccccc2c1,3.03,
49,Brc1cnccn1,0.93,
50,Brc1cncnc1,0.72,
51,Brc1nc(Br)c(Br)[nH]1,1.96,
52,Brc1ncccn1,0.5,
53,C#CC(C)(C)N(C)C(C)C,2.29,
54,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.43,
55,C#CC(C)(C)O,0.28,
56,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,3.0,
57,C#CC(C)OC(=O)Nc1ccc(OCC)c(OCC)c1,2.68,
58,C#CC(C=C)(CC)OC(N)=O,1.09,
59,C#CC(C=CCl)(CC)OC(N)=O,1.71,
60,C#CC(CC)OC(=O)Nc1ccc(OCC)c(OCC)c1,3.07,
61,C#CC(OC(N)=O)c1ccccc1,1.59,
62,C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.12,
63,C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(OC)CC21C,2.87,
64,C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3CCC21C,3.3,
65,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.11,
66,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,3.16,
67,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,2.97,
68,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,4.53,
69,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.28,
70,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,3.01,
71,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67,
72,C#CC1(O)CCCCC1,1.73,
73,C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,4.49,
74,C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,4.44,
75,C#CCC(C)OC(=O)Nc1ccc(OCC)c(OCC)c1,2.86,
76,C#CCC(N)C(=O)O,-1.8,
77,C#CCC(O)(CC#C)c1cccnc1,1.29,
