,Unnamed: 0,smiles,logP,logD
0,80,C#CCC(O)(c1ccc(F)cc1)c1cccnc1,1.78,
1,40,Brc1ccccc1Br,3.64,
2,87,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.49,
3,53,C#CC(C)(C)N(C)C(C)C,2.29,
4,71,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67,
5,77,C#CCC(O)(CC#C)c1cccnc1,1.29,
6,25,Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,7.1,
7,86,C#CCC(O)c1cccnc1,1.21,
8,51,Brc1nc(Br)c(Br)[nH]1,1.96,
9,55,C#CC(C)(C)O,0.28,
10,23,Brc1ccc(-c2ccc(Br)cc2)cc1,5.72,
11,18,Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,7.4,
12,97,C#CCN(CC#C)CC#C,1.27,
13,99,C#CCN1C(=O)COc2cc(F)c(-n3c(O)c4c(c3O)CCC=C4)cc21,2.55,
14,46,Brc1ccsc1,2.62,
15,30,Brc1ccc2ncccc2c1,2.83,
16,54,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.43,
17,21,Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,6.1,
18,49,Brc1cnccn1,0.93,
19,50,Brc1cncnc1,0.72,
20,24,Brc1ccc(-c2ccccc2)cc1,4.96,
21,38,Brc1ccccc1,2.99,
22,62,C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.12,
23,66,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,3.16,
24,94,C#CCN(C)C(C)Cc1ccc(F)cc1,3.0,
25,36,Brc1cccc(NC2=NCCN2)c1Br,2.16,
26,72,C#CC1(O)CCCCC1,1.73,
27,58,C#CC(C=C)(CC)OC(N)=O,1.09,
28,10,BrCCc1ccccc1,3.09,
29,52,Brc1ncccn1,0.5,
30,3,BrC1CCCCC1,3.2,
31,65,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.11,
32,67,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,2.97,
33,78,C#CCC(O)(Cc1ccccc1)c1cccnc1,1.87,
34,63,C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(OC)CC21C,2.87,
35,76,C#CCC(N)C(=O)O,-1.8,
36,56,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,3.0,
37,61,C#CC(OC(N)=O)c1ccccc1,1.59,
38,7,BrCCCBr,2.37,
39,91,C#CCCCC,2.73,
40,11,BrCc1ccccc1,2.92,
41,35,Brc1cccc(Br)c1NC1=NCCN1,1.96,
42,27,Brc1ccc(NC2=NCCN2)cc1,1.75,
43,0,BrC(Br)(Br)Br,3.42,
44,20,Brc1cc2ccccc2nn1,1.72,
45,16,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.75,
46,73,C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,4.49,
47,96,C#CCN(C)N=Nc1[nH]cnc1C(N)=O,0.33,
48,70,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,3.01,
49,85,C#CCC(O)(c1cccnc1)c1ccc2ccccc2c1,2.14,
50,79,C#CCC(O)(c1ccc(C)cc1)c1cccnc1,1.83,
51,34,Brc1cccc(Br)c1,3.75,
52,98,C#CCN1C(=O)C2CC[C@@](C)(C1=O)C2(C)C,2.28,
53,82,C#CCC(O)(c1cccnc1)C1CCCCC1,2.09,
54,19,Brc1cc(Br)cc(Br)c1,4.51,
55,92,C#CCCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.54,
56,75,C#CCC(C)OC(=O)Nc1ccc(OCC)c(OCC)c1,2.86,
57,81,C#CCC(O)(c1ccccc1)c1cccnc1,1.67,
58,1,BrC1C2CC3C(C2)C13,3.11,
59,13,Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,6.39,
60,17,Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,8.71,
61,83,C#CCC(O)(c1cccnc1)c1ccc(Cl)c(Cl)c1,2.42,
62,26,Brc1ccc(Br)cc1,3.79,
63,69,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.28,
64,68,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,4.53,
65,12,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,6.07,
66,41,Brc1ccccn1,1.42,
67,93,C#CCCOCn1ccnc1C=NO,0.67,
68,74,C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,4.44,
69,32,Brc1cccc(-c2cc3ccccn3c2)c1,5.31,
