,smiles,logP
0,CCN(CC)C(=O)COC(=O)C(C)c1ccc2cc(OC)ccc2c1,3.32
1,Fc1cc(F)cc(Cn2cc[nH]c2=S)c1,1.98
2,COc1c(OC)c(OC(C)=O)c2cc(C)c(C)cc2c1OC(C)=O,3.14
3,CC(=O)NC(CCCCN(Cc1ccccc1)C(=O)N(C)N=O)C(=O)NCc1ccccc1,2.12
4,c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOCCO2,0.45
5,CCN(CC)CCNC(=O)c1ccccc1,1.99
6,CC1=NS(=O)(=O)c2cnccc2N1,-0.41
7,C=CC(=O)NCCCN(CCO)CCO,-0.6
8,CNC(=O)OCc1c2n(c3c(O)cc(N4CCCC4)c(O)c13)CC=C2OC(C)=O,1.4
9,c1ccc2c(c1)COC2,1.76
10,O=C(O)C(OCc1ccc(Cl)cc1)c1ccccc1,2.6
11,CCCOc1ccccc1,3.18
12,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,5.12
13,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,1.2
14,CCC(=O)OC1(C(C)=O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(=O)CC21C,3.09
15,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,8.27
16,O=C1c2ccccc2-c2ccccc21,3.58
17,CC(=O)c1cnc2ccccc2c1,1.76
18,Nc1ccc(-c2nc3ccccc3s2)cc1,2.0
19,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,1.2
20,CCN1C(=O)/C(=C2\SC(=S)N(Cc3ccc(OC)cc3)C2=O)c2cc(Br)ccc21,6.96
21,CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)O,-0.12
22,Cc1nc(Br)c([N+](=O)[O-])n1C,0.87
23,CCCCCCCc1ccncc1,5.0
24,Oc1ccccc1O,0.88
25,CC(=O)OCCCOc1ccc(-c2ccncc2)cn1,2.48
26,CCOC(=O)C(F)(F)C(F)(F)F,2.12
27,NN=C(c1ccccc1)c1ccccc1,2.79
28,COC(C)(C)C,0.94
29,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,4.04
30,OCCNCc1ccccc1,0.79
31,Cc1ccc(NC2=NCCN2)c(Cl)c1,1.8
32,COc1ccc(COCc2cccc(CN3CCOCC3)c2)cc1,2.83
33,CC(=O)c1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,-0.04
34,CC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0.08
35,c1ccc(N(c2ccccc2)c2ccccc2)cc1,5.74
36,Cc1cnc(C)c(Cl)n1,1.5
37,O=C(OCn1ncc2c(=O)[nH]cnc21)c1ccccc1,1.5
38,O=c1c(CCS(=O)c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1,2.3
39,Cc1cc(Cl)cc(C)c1NC1=NCCN1,2.5
40,CCCC(=NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCN(C)CC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,2.73
41,c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,5.63
42,COC(=O)c1c[nH]c(C)c1,1.96
43,CC(C)O[PH](=O)OC(C)C,0.45
44,COc1ccccc1N1CCN(CCNC(=O)c2cccs2)CC1,2.0
45,CN(C)C(N)=S,-0.43
46,O=C1C=NC(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N1,2.15
47,Cc1cncc(C#N)n1,0.44
48,COC(=O)c1cccc([N+](=O)[O-])c1,1.89
49,NC(=O)c1c(F)cccc1F,0.25
50,CSCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,0.99
51,Cc1cc2occ(C)c2c2oc(=O)ccc12,3.02
52,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3ccc(F)cc3)c2s1,1.57
53,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,2.39
54,CCOS(=O)(=O)OCC,1.14
55,Cc1cccc(N2CCN(CC3CN=C(N)O3)CC2)c1C,2.19
56,O=C1CC2(CCCC2)C(=O)N1Oc1ccccc1,1.77
57,N#Cc1ccc(C#N)cc1,0.93
58,N=C1CCN(c2cccc(C(F)(F)F)c2)N1,2.56
59,COc1ccccc1OCC1CN=C(N)O1,0.85
60,Cn1nnc2ccccc2c1=O,0.84
61,C#CCC(O)(c1cccnc1)c1ccc2ccccc2c1,2.14
62,CN(C)CC(=O)NCc1ccccc1,1.11
63,CC(C)c1cccc(OCC(=O)O)c1,2.59
64,NC(=O)c1ccc(Br)cc1,1.76
65,CCn1cc(C(=O)OCOC(C)=O)c(=O)c2ccc(C)nc21,1.21
66,COc1ccc2cc(CC(=O)OCC(=O)N(C(C)C)C(C)C)ccc2c1,3.89
67,COc1c(N(C)C)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1N(C)C,2.05
68,CCCCOc1ccc(C(=O)Oc2ccc3c(c2)OCO3)cc1OC,4.77
69,CN(C)N=Nc1cc(C#N)cc(C#N)c1,2.18
70,COC(=O)C(c1ccccc1)C1CCCCN1,0.2
71,CC(C)(C)c1ccc2c(c1)OCCOCCOCCOCCOCCO2,1.71
72,OCCCc1ccncc1,0.58
73,COC(=O)c1nonc1C,0.94
74,CC(C(c1ccccc1)c1ccccc1)[N+](=O)[O-],3.91
75,CC(N)Cc1ccc2c(c1)OCO2,1.64
76,O=C1CC(Oc2cccc(C(=O)OCc3ccccc3)c2)N1,2.83
77,NC(Cc1ccccc1)C(=O)NCC(=O)O,-0.5
78,C=CC(=C)C,2.42
79,N=c1nc(-c2cccc(Br)c2)[nH]c(=N)[nH]1,2.44
80,CN(Cc1cnc2[nH]c(=N)[nH]c(=N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.85
81,CCCOc1cncc(C)n1,2.29
82,CCC(C)NC(=O)C=C(C)c1ccc(Cl)cc1,3.92
83,Cc1cc(Cc2ccc(Cl)c(Cl)c2)c(Cl)cc1Cl,7.26
84,N#CCCCCCC#N,0.05
85,CCCCCCCCO,3.0
86,CC(=NN=C(N)Nc1ccccc1)c1ccccc1,2.18
87,CC(C)Cc1ccc(C(C)C(=O)O)cc1,4.033333333333333
88,N#CC(C#N)=NNc1cccc(Cl)c1,3.38
89,CC(C)(C)N(CC(O)COc1ccccc1)CC(O)COc1ccccc1,3.99
90,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,2.12
91,CCCCCOc1cc(N)ccc1C(=O)O,2.38
92,C=C(C)C(=O)OCCCOC(=O)C(=C)C,1.86
93,CCC1(C2=CCCCCC2)C(=O)NC(=O)N(C)C1=O,2.82
94,O=C(/C=C/c1ccc2c(c1)OCO2)NCCCCNC(=O)/C=C/c1ccc2c(c1)OCO2,4.59
95,CCCOC(=O)c1ccccc1C(=O)OCCC,3.27
96,C=CCCBr,2.53
97,Clc1cccc(Br)c1NC1=NCCN1,1.73
98,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)N=c1nc(N(C)C)nc(OCC(F)(F)F)[nH]1,0.96
99,CC1(c2ccc(F)cc2)OC2CC3C4CC=C5CC(=O)CCC5C4CCC3(C)C2(C(=O)CO)O1,4.92
100,CCOC(=O)CC(C)n1nnc2ccccc21,2.27
101,Nc1ccc2nccnc2c1,0.9
102,CCCCOC(=O)c1ccccc1,3.84
103,COc1cccc(OC)c1C(N)=O,-0.22
104,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)NCc1ccc([N+](=O)[O-])cc1,3.44
105,CC(C)c1ccc(C2C(=O)c3ccccc3C2=O)cc1,4.43
106,C=Cc1ncc([N+](=O)[O-])n1C,0.62
107,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,2.39
108,Cc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1,1.49
109,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,3.58
110,CCOC(=O)c1nccnc1C(=O)OCC,0.65
111,Cc1nc2cc([N+](=O)[O-])ccc2[nH]1,1.94
112,CCC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,2.8
113,Fc1cccc(Cl)c1,2.76
114,Cc1cccc(NC(=O)CSc2ccccn2)c1C,3.19
115,CC(=O)NNC(=O)Nc1ccc(N(C)C)cc1,0.11
116,CCCC(=NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(COC(F)(F)C(=O)NCCN1CCOCC1)CC1CCCCC1,3.17
117,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C,1.85
118,Nc1ccc(C(=O)O)cc1O,0.5
119,CC(=O)c1ccc(S(N)(=O)=O)cc1,0.2
