,smiles,logP
0,CC=C(C)C,2.67
1,C=CCC1(CC=C)C(=O)NC(=O)N(C)C1=O,1.55
2,C=C1C(=O)OC2C1C(O)CC(C)C1CCC(=O)C12C,0.23
3,CCC1(CC)C(=O)NC(=O)N(C(C)C)C1=O,2.005
4,CCOC(=O)C(=Cc1ccc(C)cc1)C(C)=O,2.63
5,CC=CCCCCC,4.51
6,CCSC(=O)COc1ccc(Cl)cc1C,4.05
7,CCC(=O)OC1(C(=O)CO)C(C)CC2C3CC(F)=C4CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC21C,2.99
8,COc1cc(OC)[nH]c(=NC(=O)NS(=O)(=O)N(C)S(C)(=O)=O)n1,1.63
9,CCCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,3.63
10,CCc1cc(S(=O)(=O)O[Na])c2cccccc1-2,-1.07
11,Cc1ccccn1,1.11
12,N#CN=[N+]([O-])c1cccc(Cl)c1,2.4
13,O=C1c2ccccc2C(=O)C1(O)O,0.67
14,CCOC(=O)C(Cc1ccoc1)=NC=O,2.08
15,COc1ccc(S(C)(=O)=O)cc1,0.76
16,CC(C)OC(=O)C1(S(=O)(=O)c2ccc(Cl)cc2)CC1,2.64
17,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1,6.61
18,Cc1ccc(C(N)=O)cc1,1.18
19,CS(=O)(=O)CCNCc1cc2cc(S(N)(=O)=O)sc2s1,-0.26
20,Nc1ccc(I)cc1,2.34
21,O=c1ccocc1O,-0.92
22,CC(=O)Oc1ccc(C(C)=O)cc1,1.29
23,COC1C(OC(C)=O)CC(=O)OC(C)CC2OC2=CCC(=O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3.04
24,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)C(OC=O)CC65O)C4)OC3C)OC2C)CC(O)C1O,2.04
25,O=[N+]([O-])c1cc([N+](=O)[O-])c(N=c2[nH]cc(Cl)cc2Cl)c(C(F)(F)F)c1,3.47
26,S=C1CCCO1,0.6
27,COc1c(O)cc(Cl)c(Cl)c1Cl,3.77
28,COc1c(Cl)ccc(Cl)c1C(=O)O,2.21
29,CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.84
30,Cc1nonc1C(N)=O,0.31
31,CC(=O)Oc1ccccc1C(=O)OCC(=O)N(C(C)C)C(C)C,2.03
32,COC(=O)c1cc(Sc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],4.76
33,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,0.54
34,O=C1CCc2ccccc2N1,1.34
35,CCc1cc(-c2ccccc2)n[nH]c1=NCCN1CCOCC1,2.53
36,CCCCCc1ccc(CC(=O)O)cc1,3.75
37,CCNCCNCC,0.21
38,FC(F)(F)c1cccc(C2CNCCO2)c1,2.18
39,Cc1cc(Cl)ccc1NC(=O)c1cc(F)ccc1O,4.89
40,COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)=C(OC1CC(N2CCOCC2)C(O)C(C)O1)CC(O)(C(C)=O)C=4,2.31
41,NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1,0.88
42,O=[N+]([O-])CC1=NCCN1Cc1ccncc1,-1.05
43,Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O,-0.22
44,COc1ccccc1NC(=O)OC1CCCCC1CN(C)C,3.55
45,C=c1[nH]cc(CO)c(=CNNC(=O)c2ccc(N)cc2)c1=O,1.19
46,COC(=O)c1cnc2n(c1=O)CCCC2,-0.25
47,OCc1ccccc1O,0.73
48,NC1CC2CC1c1ccc(C(F)(F)F)cc12,3.06
49,CCS(=O)c1sc(C#N)c(OC)c1C#N,2.35
50,CC(C)(C#N)N=c1[nH]c(Cl)nc(=NC2CC2)[nH]1,1.99
51,O=CNc1cccc2cccnc12,1.8
52,CN(C)CCN(C)S(=O)(=O)c1ccc(C(C)(C)[N+](=O)[O-])c([N+](=O)[O-])c1,1.42
53,CC(=O)Nc1cc(Cl)cc(C(F)(F)F)c1Br,3.26
54,CNC(=O)Oc1ccc(C(C)C)cc1,2.57
55,NNC(=O)c1ccc2c(c1)OCO2,1.16
56,Cc1ccc(O)cc1,1.94
57,CCc1cc(CC)cc(C2C(=O)c3ccccc3C2=O)c1,4.94
58,Cc1ncnc2c1ncn2C1CCC(CO)O1,-0.12
59,O=[N+]([O-])c1nccn1CC(O)CO,-0.96
60,Cc1ccnc2c(O)ccc(O)c12,1.59
61,CC(=O)NNC(=O)Nc1ccc(C(C)(C)C)cc1,2.08
62,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,2.46
63,CCCCOC(=O)Nc1ccccc1,3.3
64,c1ccc2cc3c(cc2c1)oc1ccccc13,5.05
65,CCOC(=O)CN(C(=O)CCl)c1ccccc1OC,1.78
66,CCc1cccc(OCC(=O)O)c1,2.25
67,CCCc1ccc(NC(=O)N(C)C)cc1,2.55
68,CNC(=O)CCn1ccc(=O)c(O)c1C,-1.1
69,N=c1[nH]cnc2c1ncn2C1OC2COP(=O)(OCc3ccccc3)OC2C1O,1.15
70,CC1COC(N=c2[nH]cc([N+](=O)[O-])s2)=N1,1.34
71,c1ccc(Cn2nccn2)cc1,1.56
72,COc1ccccc1-c1nc(=N)[nH]c(=N)[nH]1,0.58
73,CCC(CC)(C(=O)NC(N)=O)C(=O)OCC(=O)OC,0.99
74,O=C(O)CCC1=NS(=O)(=O)c2cc(Cl)cc(Cl)c2N1,1.04
75,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.2
76,CCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,2.98
77,O=C(NCC(O)CO)c1c(I)c(N(CCO)C(=O)CO)c(I)c(N(CCO)C(=O)CO)c1I,-2.55
78,Brc1ccsc1Br,3.53
79,CCON1C(=O)CC2(CCCC2)C1=O,1.26
80,COCc1ccc(COC)cc1,1.28
81,CNC(=O)ON=CC(C)(C)[N+](=O)[O-],0.36
82,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.2
83,CC1(O)CCC2C3CCC4CC(=O)CCC4(C)C3(F)C(O)CC21C,2.38
84,CCN1C(=O)NC(=O)C(=O)C1=O,-0.32
85,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,2.85
86,O=C(Nc1ccccc1)NC1CCCC1,2.65
87,NCc1cc(=O)[nH]o1,-2.39
88,CC(=O)NNC(=O)Nc1ccc(Oc2ccccc2)cc1,2.01
89,O=C1CC(Sc2ccncc2)N1,0.61
90,Clc1ccc(C2OC2c2ccccc2)cc1,4.54
91,Cc1cc(C)cc(NC(=O)N(C)C)c1,1.9
92,O=C(Cc1ccccc1)Nc1cccc(Cl)c1,3.61
93,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.85
94,S=C=NC(c1ccccc1)c1cccc2ccccc12,6.44
95,CSC(C)=NOC(=O)N(C)SN(C)C(=O)c1ccc(C)cc1,2.5
96,Oc1ccc(-c2ccccc2)cc1,3.2
97,COCc1csc(-c2ccc(C(C)C(=O)O)cc2)n1,2.56
98,CC(C)C(=O)NCCNCC(O)COCCc1ccccc1,0.95
99,O=Cc1ccc(F)cc1,1.54
100,CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,2.69
101,CC(C)(C)NCC(O)COC1CCCc2ccccc21,3.55
102,N=C1NCC(CN2CCN(c3ccccc3Cl)CC2)O1,1.87
103,OCC1c2ccccc2-c2ccccc21,2.89
104,Nc1ccccc1C(F)(F)F,2.41
105,Nc1ccc(C(=O)Oc2cccc(F)c2)c(O)c1,3.42
106,Oc1cccc2ccccc12,2.85
107,OCC1OC(Oc2ccc(Cl)cc2)C(O)C(O)C1O,0.26
108,CN(C)c1ccc(N=Nc2ccccc2)cc1,4.58
109,CCN(N=O)C(=O)Nc1ccccc1,2.25
110,O=C1OC(=Nc2ccc(Cl)cc2)C2=C1CCCC2,3.84
111,CC(C)CC(N)Cc1ccccc1,3.29
112,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.39
113,Cn1nnc2ccccc2c1=O,0.84
114,COc1cc(CCN)cc(OC)c1OC(C)C,1.52
115,CC(C)=CC1C(C(=O)OCc2ccc(C#N)cc2)C1(C)C,4.91
116,Cc1ccc2nc3c(c(=O)n2c1)CCC3,1.63
117,CCc1ccccc1S(I)=C(N(C)C)N(C)C,0.32
118,Clc1ccc(Oc2ccccc2)cc1,4.7
119,CC(C)N(C(=O)c1ccccc1Cl)C(C)C,3.0
