,smiles,logP
0,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,-1.01
1,CCN(CC)CCSC(=NO)c1noc(-c2ccccc2)n1,2.13
2,C=CCc1cccc2c(=O)c(C)c(-c3ccccc3)oc12,4.67
3,COC(=O)NC1=NC(c2ccccc2Br)CN1,1.85
4,CC(=O)C=Cc1ccco1,1.35
5,CCN(CC)c1nc(N(C)C)nc(N(C)C)n1,3.45
6,C=CC(=O)NCCCN(CCO)CCO,-0.6
7,CCOC(=O)NC,0.34
8,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,5.23
9,CC#CC#CC#Cc1ccccc1,4.91
10,Cc1cccc(C)c1NC(=O)CCCCCN,1.29
11,NC(=O)Cn1ccnc1[N+](=O)[O-],-1.22
12,COc1ccc(C(C)NCCC(c2ccccc2)c2ccccc2)cc1OC,5.8
13,O=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,4.04
14,Nc1ccc(S(=O)(=O)N=c2cc[nH]cn2)cc1,-0.24
15,CCCC(=O)OC1(C(=O)CO)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,3.18
16,O=C(O)c1ccc([N+](=O)[O-])cc1,1.89
17,COc1cccc(OC)c1C(=O)O,0.66
18,O=S(=O)(Nc1cccc(F)c1)C(F)(F)F,3.42
19,Cc1ccc(C(=O)N(N)c2ccccc2)cc1,3.0
20,CC(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1,0.9
21,CNc1ccc(S(N)(=O)=O)cc1,0.08
22,O=C(c1ccncc1)c1ccc(Cl)cc1,2.61
23,CNC(=O)Oc1ccccc1C(C)(C)C,2.65
24,N#Cc1c(N)sc2ccccc12,2.17
25,CC(C)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,0.31
26,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1CO,0.42
27,Clc1ccc2cc[nH]c2c1,3.25
28,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C,-0.51
29,O=[N+]([O-])c1ccc(C(F)(F)F)cc1,2.55
30,CC12CCC(OS(=O)(=O)O)CC1CCC1C2CCC2(C)C(c3coc(O)c3)CCC12O,-0.21
31,O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1Cl,3.93
32,Cn1c2ccccc2n2c3nc(C#N)c(C#N)nc3c(C#N)c12,3.61
33,CCOC(=O)c1cc2ccccc2o1,3.05
34,CCN(CC)CCNC(=O)c1cc(Br)ccc1OC,3.2
35,COCC(O)Cn1ncc([N+](=O)[O-])n1,-0.07
36,CC1=C(c2ccccc2)CCN(C)C1,3.18
37,CS(=O)(=O)c1cccc(NS(=O)(=O)C(F)(F)F)c1,1.85
38,c1cnc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cccnc4n4cccc34)CC1)c1cccn12,5.05
39,Clc1ccc(Cl)c2ccccc12,4.66
40,COc1ccccc1C(=O)N1CCN(C)CC1,0.29
41,CCOC(=O)C1C=NC2CCCCN2C1=O,0.57
42,CC(=O)C(C#N)=NNc1ccc(SC(F)(F)F)cc1,5.04
43,O=C(O)COc1cccc(Br)c1,2.22
44,O=[N+]([O-])c1c[nH]c(=NC2=NCCN2)s1,1.38
45,O=C(O)c1ccc(Cl)cc1Nc1cccc(Br)c1,5.16
46,CNc1cccc2ccccc12,2.88
47,CCN=c1cc(-c2nc(=N)[nH][nH]2)cc[nH]1,1.13
48,Cc1c(NCC(C)C)c(=O)n(-c2ccccc2)c(=O)n1C,1.48
49,C=CCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.75
50,CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.07
51,CC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,0.61
52,N#CC1CC1,0.68
53,C#CCOc1ccc(C2C3=C(CC(C)(C)CC3=O)OC3=C2C(=O)CC(C)(C)C3)cc1OCC,4.93
54,CN1CCCCC1,1.3
55,CCCCCCCOC1OC(CO)C(O)C(O)C1O,0.73
56,Clc1cccc(Br)c1NC1=NCCN1,1.73
57,O=C1NCCC2CNC(=O)C12,-1.95
58,C=Cc1ccc2c(O)c3ccccc3c(O)c2c1,4.37
59,CCCOC(=O)Nc1ccccc1,2.8
60,CNCC(CC(C)C)c1ccccc1,3.76
61,CCCc1cc(=S)ss1,2.83
62,COc1ccc(C(=O)C(O)O)cc1,0.63
63,CC(=O)Oc1cccc(C(F)(F)F)c1,2.63
64,CCc1cccc(OCC(=O)O)c1,2.25
65,CC(C)OC(=O)c1cc(O)c(O)c(O)c1,1.54
66,CC(=O)Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,3.08
67,Cc1ccccc1OCC(O)CO,1.41
68,CCC(C)(C)COC(N)=O,1.45
69,Clc1ccccc1NC1=NCCN1,1.36
70,O=S(=O)(Nc1cccc(Cl)c1)C(F)(F)F,4.0
71,CC1=C(C(N)=O)SCCO1,-0.22
72,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,0.06
73,Fc1cccc(F)c1NC1=NCCN1,0.93
74,CCC(C(=O)OCc1ccccc1C)C(CO)Cc1cncn1C,2.42
75,O=Cc1cccc(C(F)(F)F)c1,2.47
76,CCCN(C)N=O,0.56
77,Cc1cccc(C)c1NC(=O)c1cccc(CN2CCCCC2)c1,3.47
78,COC(=O)CC(CN)c1ccc(Cl)cc1,0.48
79,CC(=O)OCCOc1ccc(-c2ccncc2)cn1,1.92
80,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,6.23
