ID	SMILES	logD7.4
A-logD7.4-100	Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CCNCC1	-0.96
A-logD7.4-101	S1(=O)(=O)N(CCN1C)c1cc2c([nH]cc2CCN(C)C)cc1	-0.92
A-logD7.4-104	OC=1C(=O)C=CN(CCCO)C=1C	-0.9
A-logD7.4-105	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2C)cc1N1CCNCC1	-0.83
A-logD7.4-106	OC=1C(=O)C=CN(CCC(=O)NCC)C=1C	-0.82
A-logD7.4-108	Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)c(OC)c1N1CC(NCC1)C	-0.79
A-logD7.4-109	S1(=O)(=O)NCC(N1Cc1cc2c([nH]cc2CCN(C)C)cc1)(C)C	-0.78
A-logD7.4-110	OC=1C(=O)C=CN(CCC(OC)=O)C=1C	-0.77
A-logD7.4-111	OC=1C(=O)C=CN(CC(O)(C)C)C=1C	-0.77
A-logD7.4-112	OC=1C(=O)C=CN(C)C=1C	-0.77
A-logD7.4-113	[nH]1cc(c2cc(ccc12)Cc1ncnn1C)CCN(C)C	-0.75
A-logD7.4-114	OC=1C(=O)C=CN(CCCCO)C=1C	-0.75
A-logD7.4-115	[nH]1cc(c2cc(ccc12)Cn1ncnc1)CCN(C)C	-0.74
A-logD7.4-117	Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CC(NC(C3)C)C)cc12	-0.73
A-logD7.4-118	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2)C)cc1N1CCNCC1	-0.73
A-logD7.4-122	[nH]1cc(c2cc(ccc12)Cn1nncc1)CCN(C)C	-0.7
A-logD7.4-123	S1(=O)(=O)N(CCN1C)Cc1cc2c([nH]cc2CCN(C)C)cc1	-0.68
A-logD7.4-126	OC=1C(=O)C=CN(CCC(=O)N(CC)C)C=1C	-0.67
A-logD7.4-127	OC=1C(=O)C=CN(CCO)C=1CC	-0.66
A-logD7.4-128	[nH]1cc(c2cc(ccc12)Cn1nnnc1)CCN(C)C	-0.64
A-logD7.4-131	S(=O)(=O)(C)c1cc(ccc1)-c1nc(n(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1)C(C)C.[Na+]	-0.6
A-logD7.4-132	S1(=O)(=O)N(CCN1C)CCc1cc2c([nH]cc2CCN(C)C)cc1	-0.57
A-logD7.4-133	Clc1cc(Cl)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12	-0.55
A-logD7.4-138	OC(=O)C(NC(=O)C(N)Cc1c2c([nH]c1)cccc2)Cc1ccccc1	-0.52
A-logD7.4-141	[nH]1cc(c2cc(ccc12)Cc1nn(nn1)C)CCN(C)C	-0.51
A-logD7.4-142	Oc1c(nccc1O)C	-0.5
A-logD7.4-143	O=C(N[C@H](CCc1ccccc1)C(=O)Nc1cc2c(nccc2)cc1)[C@@H]1N(C[C@H](C1)CN)C(=O)CN	-0.5
A-logD7.4-144	S(Cc1oc(cc1)CN(C)C)CCNC(NC)=C[N+](=O)[O-]	-0.39
A-logD7.4-145	Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12	-0.48
A-logD7.4-146	OC=1C(=O)C=CN(CCC(=O)NC(C)C)C=1C	-0.47
A-logD7.4-147	OC=1C(=O)C=CN(CC(OC)OC)C=1C	-0.46
A-logD7.4-148	[Na+].Fc1ccc(cc1)-c1n(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c(nc1-c1cccnc1)C(C)C	-0.43
A-logD7.4-149	Fc1cc2c3N(C=C(C(O)=O)C2=O)[C@H](COc3c1N1CCN(CC1)C)C	-0.43
A-logD7.4-15	OC=1C(=O)C=CN(CCC(O)=O)C=1C	-2.92
