SMILES,LogD {measured},UNIT {LogD},pH,UNIT {pH},Temperature,UNIT {Temperature},logPow Method,logPow Buffer,Ionic strength,UNIT {Ionic strength},Species,Test duration,Material Nanoparticles of Elements,APS,UNIT {APS},Explosure concentration,UNIT {Explosure concentration},Crystal structure of nanoparticles,Ionisable
OCC1CCC(O1)N1C=NC2=C1N=CNC2=O,-0.54,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
CC(C)(C)NC(=O)C1CN(CC2=CN=CC=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C(O)CC2=CC=CC=C12,2.79,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
CC1=CC=NC2=C1NC(=O)C1=C(N=CC=C1)N2C1CC1,1.81,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
CC1=CN(C2CC(N=[N]#N)C(CO)O2)C(=O)NC1=O,-0.58,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.48,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-3.34,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O,-0.72,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,-1.1,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(CC1=CC=CC=C1)NC(=O)C(CC(N)=O)NC(=O)C1=NC2=C(C=CC=C2)C=C1,4.51,Log unit,7.4,Log unit,37,?C,,,,-,,,,,-,,-,,
NC(=N)C1=CC2=C(C=C1)N=C(CC1=NC3=C(N1)C=CC=C3)N2,-2,Log unit,7.2,Log unit,,-,,,,-,,,,,-,,-,,
CC1=CC=NC2=C1NC(CC1=NC3=C(N1)C=C(C=C3)C(N)=N)=N2,-1.9,Log unit,7.2,Log unit,,-,,,,-,,,,,-,,-,,
NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=NC=CC=C1,-4,Log unit,7.2,Log unit,,-,,,,-,,,,,-,,-,,
CCOC(=O)NC(=N)C1=CC2=C(C=C1)N=C(CC1=NC3=C(N1)C=CC=C3)N2,1.5,Log unit,7.2,Log unit,,-,,,,-,,,,,-,,-,,
CC1=CC=NC2=C1N=C(CC1=NC3=C(N1)C=C(C=C3)C(\N)=N\O)N2,1,Log unit,7.2,Log unit,,-,,,,-,,,,,-,,-,,
N\C(=N/O)C1=CC2=C(C=C1)N=C(N2)C1=NC=CC=C1,1.6,Log unit,7.2,Log unit,,-,,,,-,,,,,-,,-,,
CN1N(C(=O)C=C1C)C1=CC=CC=C1,0.11,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.1,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN\C(NCCSCC1=C(C)NC=N1)=N/C#N,-0.4,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,2.1,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OCC(O)CO,-1.9,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
