smiles,NumAtoms
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,28
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,29
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,29
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,17
COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12,24
CCC1(CC)C(=O)NC(=O)N(C)C1=O,14
CCC1(c2ccccc2)NC(=O)N(C)C1=O,16
O=P1(N(CCCl)CCCl)NCCCO1,14
CC(=O)C(O)O,6
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,25
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,26
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,26
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,21
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,20
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,19
O=C(O)c1c(Cl)cccc1Cl,11
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,20
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,23
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,19
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,22
CNCCCN1c2ccccc2CCc2ccccc21,20
CN(C)CCC=C1c2ccccc2CCc2ccccc21,21
CN(C)CCCN1c2ccccc2CCc2ccccc21,21
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,25
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,21
OCC1OC(O)C(O)C1O,10
OCC(O)C(O)C(O)C(O)CO,12
O=C1NC(=O)C(=O)C(=O)N1,10
CC(=O)Oc1ccccc1C(=O)O,13
O=C(O)c1cc(Cl)ccc1Cl,11
OCC(O)c1oc(O)c(O)c1O,12
Cc1ccc(C(=O)O)c(O)c1,11
CC(=O)Nc1ccc(C(=O)O)c(O)c1,14
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,17
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,17
OCC1OC(O)C(O)C(O)C1O,12
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,24
CCN(CC)CCNC(=O)c1ccc(N)cc1,17
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,22
O=c1[nH]cc(Br)c(=O)[nH]1,9
O=c1[nH]cc(F)c(=O)[nH]1,9
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,13
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,22
O=C(O)C1CC(O)CN1,9
O=C(O)c1cc(Cl)cc(Cl)c1,11
NCC(O)c1ccc(O)c(O)c1,12
CNCC(O)c1ccc(O)c(O)c1,13
O=C(O)c1ccc(Cl)c(Cl)c1,11
NCCc1c[nH]cn1,8
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,21
NCCc1ccc(O)c(O)c1,11
CC(N)Cc1ccccc1,10
COc1ccc(NC(C)=O)cc1,12
CN(CCCl)CCCl,8
CCOC(N)=O,6
CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,29
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,29
S=P(N1CC1)(N1CC1)N1CC1,11
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,17
CC12CCC(=O)C=C1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13,26
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,15
O=C1NC(=O)C2(CCCCC2)C(=O)N1,14
O=C1NC(=S)NC(=O)C12CCCCC2,14
NC1(C(=O)O)CCCC1,9
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,33
CC(C)(S)C(N)C(=O)O,9
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,12
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,19
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,26
NC(CS)C(=O)O,7
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,26
